"diagram_guid";"diagram_naam";"element_guid";"element_naam";"element_uml_type";"beleidsdomein_guid";"beleidsdomein_naam";"taakveld"
"EAID_1870EA6A_B28E_464d_BF23_0BAC5C950999";"(Zaak)objecten";"EAID_6FB0A5B7_7B5F_437f_A462_4B1EADB964E4";"Huishouden";"Class";"EAPK_DF1A3AF5_E138_4f54_AAB1_1716247A2F1D";"RGBZPlus";"99 Kern"
"EAID_1870EA6A_B28E_464d_BF23_0BAC5C950999";"(Zaak)objecten";"EAID_CA19D17F_3EB7_459d_9883_16F0C0B5D35E";"Ingezetene";"Class";"EAPK_DF1A3AF5_E138_4f54_AAB1_1716247A2F1D";"RGBZPlus";"99 Kern"
"EAID_1870EA6A_B28E_464d_BF23_0BAC5C950999";"(Zaak)objecten";"EAID_91F9D39E_0322_42c6_AE7F_5027B36F3EC3";"Object";"Class";"EAPK_DF1A3AF5_E138_4f54_AAB1_1716247A2F1D";"RGBZPlus";"99 Kern"
"EAID_1870EA6A_B28E_464d_BF23_0BAC5C950999";"(Zaak)objecten";"EAID_1C092D44_571B_4903_BE7C_274931EB1A80";"RSGB";"Class";"EAPK_DF1A3AF5_E138_4f54_AAB1_1716247A2F1D";"RGBZPlus";"99 Kern"
"EAID_79A12E83_7204_4e76_9EFF_DE43AB9C5CF5";"AANDUIDING ADRES OBJECT";"EAID_32A22BC6_89EC_44af_8D7D_79B12311AE2D";"Nummeraanduiding";"Class";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern"
"EAID_79A12E83_7204_4e76_9EFF_DE43AB9C5CF5";"AANDUIDING ADRES OBJECT";"EAID_DF81069D_CBE4_433e_AB7C_CB06170275C9";"LocatieaanduidingAdresWOZObject";"Class";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern"
"EAID_79A12E83_7204_4e76_9EFF_DE43AB9C5CF5";"AANDUIDING ADRES OBJECT";"EAID_CB7BA76D_0793_4d5a_9596_533C5BC56BBF";"WOZ-object";"Class";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern"
"EAID_5AEC36BA_4A41_469d_948F_1F161CE8C49B";"AANDUIDING LIGGING OBJECT";"EAID_BFE30E32_8CB9_4272_A559_9FB3FD74DACC";"OpenbareRuimte";"Class";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern"
"EAID_5AEC36BA_4A41_469d_948F_1F161CE8C49B";"AANDUIDING LIGGING OBJECT";"EAID_CB7BA76D_0793_4d5a_9596_533C5BC56BBF";"WOZ-object";"Class";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern"
"EAID_FF57C1EA_0D27_4c30_A22A_F558746A1B42";"AANDUIDING LOCATIE OVERIG GEBOUWD OBJECT";"EAID_8A04280B_E0B4_4e36_B448_C99750393D0D";"AdresseerbaarObject";"Class";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern"
"EAID_FF57C1EA_0D27_4c30_A22A_F558746A1B42";"AANDUIDING LOCATIE OVERIG GEBOUWD OBJECT";"EAID_7CDF37D9_26D7_46a5_9CF3_392601BDCECA";"OverigGebouwdObject";"Class";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern"
"EAID_EB829228_B970_4bc9_A9B4_5E88B9EF07D3";"ADRESSEERBAAR OBJECT AANDUIDING";"EAID_38649FF6_88C6_437d_AF8E_A9023D55E16C";"Buurt";"Class";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern"
"EAID_EB829228_B970_4bc9_A9B4_5E88B9EF07D3";"ADRESSEERBAAR OBJECT AANDUIDING";"EAID_BFE30E32_8CB9_4272_A559_9FB3FD74DACC";"OpenbareRuimte";"Class";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern"
"EAID_EB829228_B970_4bc9_A9B4_5E88B9EF07D3";"ADRESSEERBAAR OBJECT AANDUIDING";"EAID_24BDA4BA_CFCC_4e3f_8305_671F4ED7C502";"Woonplaats";"Class";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern"
"EAID_EB829228_B970_4bc9_A9B4_5E88B9EF07D3";"ADRESSEERBAAR OBJECT AANDUIDING";"EAID_32A22BC6_89EC_44af_8D7D_79B12311AE2D";"Nummeraanduiding";"Class";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern"
"EAID_EB829228_B970_4bc9_A9B4_5E88B9EF07D3";"ADRESSEERBAAR OBJECT AANDUIDING";"EAID_8A04280B_E0B4_4e36_B448_C99750393D0D";"AdresseerbaarObject";"Class";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern"
"EAID_EB829228_B970_4bc9_A9B4_5E88B9EF07D3";"ADRESSEERBAAR OBJECT AANDUIDING";"EAID_B60B8EF9_D1C0_4e36_BF9B_1C16F92518DD";"Vestiging";"Class";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern"
"EAID_EB829228_B970_4bc9_A9B4_5E88B9EF07D3";"ADRESSEERBAAR OBJECT AANDUIDING";"EAID_CB7BA76D_0793_4d5a_9596_533C5BC56BBF";"WOZ-object";"Class";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern"
"EAID_EB829228_B970_4bc9_A9B4_5E88B9EF07D3";"ADRESSEERBAAR OBJECT AANDUIDING";"EAID_7B33EB93_BAD8_4b36_90A1_B3909415EDC3";"OverigeAdresseerbaarObjectAanduiding";"Class";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern"
"EAID_EB829228_B970_4bc9_A9B4_5E88B9EF07D3";"ADRESSEERBAAR OBJECT AANDUIDING";"EAID_DF81069D_CBE4_433e_AB7C_CB06170275C9";"LocatieaanduidingAdresWOZObject";"Class";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern"
"EAID_0C767444_9817_4d3b_90CB_92D82729A6F9";"APPARTEMENTRECHTSPLITSING";"EAID_6D64D2BB_B7FF_4771_B12F_F97458E8447F";"typeringAppartementsrechtsplitsing";"Enumeration";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern"
"EAID_0C767444_9817_4d3b_90CB_92D82729A6F9";"APPARTEMENTRECHTSPLITSING";"EAID_C97E674B_BCBC_45e8_B60C_1E0C7954D751";"SplitsingstekeningReferentie";"Class";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern"
"EAID_0C767444_9817_4d3b_90CB_92D82729A6F9";"APPARTEMENTRECHTSPLITSING";"EAID_3D5CCB29_91E4_458e_8BCD_6741198E45B8";"NietNatuurlijkPersoon";"Class";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern"
"EAID_0C767444_9817_4d3b_90CB_92D82729A6F9";"APPARTEMENTRECHTSPLITSING";"EAID_8C809341_AC60_4378_8BA0_0843E8C06AF3";"ZakelijkRecht";"Class";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern"
"EAID_0C767444_9817_4d3b_90CB_92D82729A6F9";"APPARTEMENTRECHTSPLITSING";"EAID_C1542AC8_2F3C_4e62_ADFA_A9FB3358DAB1";"Appartementsrechtsplitsing";"Class";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern"
"EAID_AD6E225D_4EB7_4f41_8417_20125A0714D0";"ARK codes kadastrale gemeenten referenties";"EAID_6BA8DD14_1CC9_4669_BDCC_856B5C628D6B";"AkrKadastraleGemeentecode";"Class";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern"
"EAID_196C3C10_4FCF_4342_B4EC_B5524AAA26F8";"Aanduiding verblijfsrecht";"EAID_0DC6F150_CF59_4376_A5F0_E0B600BE4C53";"VerblijfsrechtIngeschrevenNatuurlijkPersoon";"Class";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern"
"EAID_196C3C10_4FCF_4342_B4EC_B5524AAA26F8";"Aanduiding verblijfsrecht";"EAID_EBE4A0C9_9281_4750_8E70_AF70A549CD6B";"AanduidingVerblijfsrecht";"Class";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern"
"EAID_5F3782EB_C416_461c_A9FA_40991A7F0165";"AanvraagOfMelding";"EAID_71D7E96D_641A_4b6a_A325_DED07C3B5836";"Beschikking";"Class";"EAPK_189DA897_DDC8_4956_B8E3_5E04D3E1AEA3";"Generiek Jeugd en Wmo";"6 Sociaal Domein"
"EAID_5F3782EB_C416_461c_A9FA_40991A7F0165";"AanvraagOfMelding";"EAID_DAF09055_A5A6_4ff4_A158_21B20567B296";"Client";"Class";"EAPK_189DA897_DDC8_4956_B8E3_5E04D3E1AEA3";"Generiek Jeugd en Wmo";"6 Sociaal Domein"
"EAID_5F3782EB_C416_461c_A9FA_40991A7F0165";"AanvraagOfMelding";"EAID_BE7C28C6_0922_4c6a_A953_3D598D991AB5";"AOM_AanvraagWmoJeugd";"Class";"EAPK_189DA897_DDC8_4956_B8E3_5E04D3E1AEA3";"Generiek Jeugd en Wmo";"6 Sociaal Domein"
"EAID_5F3782EB_C416_461c_A9FA_40991A7F0165";"AanvraagOfMelding";"EAID_0FA25A4F_DF7F_4feb_9460_19D054E874F8";"AOMMeldingWmoJeugd";"Class";"EAPK_189DA897_DDC8_4956_B8E3_5E04D3E1AEA3";"Generiek Jeugd en Wmo";"6 Sociaal Domein"
"EAID_5F3782EB_C416_461c_A9FA_40991A7F0165";"AanvraagOfMelding";"EAID_8E6BAEF8_1878_400f_9244_23575BD41EAB";"AanvraagOfMelding";"Class";"EAPK_189DA897_DDC8_4956_B8E3_5E04D3E1AEA3";"Generiek Jeugd en Wmo";"6 Sociaal Domein"
"EAID_156D28EA_3C4E_4849_B6FA_2BCE262950C0";"Aard aantekeningen";"EAID_BE0C0747_E9CD_4ae1_A83C_94A724513C7B";"AardAantekening";"Class";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern"
"EAID_211D2BB4_1BE7_4d67_91E2_436C5781FB66";"Aard zakelijke rechten referenties";"EAID_AC4F4A9C_1623_4447_9813_0722CDD58E66";"AardZakelijkRecht";"Class";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern"
"EAID_211D2BB4_1BE7_4d67_91E2_436C5781FB66";"Aard zakelijke rechten referenties";"EAID_8C809341_AC60_4378_8BA0_0843E8C06AF3";"ZakelijkRecht";"Class";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern"
"EAID_1279615F_663B_4c7f_BDF3_CD1DA37A87BC";"Adresseerbare Objecten";"EAID_32A22BC6_89EC_44af_8D7D_79B12311AE2D";"Nummeraanduiding";"Class";"EAPK_C3BA35EC_ABFA_4a7d_BEE9_07FF7563442D";"Beheer Openbare Ruimte";"8 Volkshuisvesting, Leefomgeving en Stedelijke Vernieuwing"
"EAID_1279615F_663B_4c7f_BDF3_CD1DA37A87BC";"Adresseerbare Objecten";"EAID_8A04280B_E0B4_4e36_B448_C99750393D0D";"AdresseerbaarObject";"Class";"EAPK_C3BA35EC_ABFA_4a7d_BEE9_07FF7563442D";"Beheer Openbare Ruimte";"8 Volkshuisvesting, Leefomgeving en Stedelijke Vernieuwing"
"EAID_1279615F_663B_4c7f_BDF3_CD1DA37A87BC";"Adresseerbare Objecten";"EAID_7B33EB93_BAD8_4b36_90A1_B3909415EDC3";"OverigeAdresseerbaarObjectAanduiding";"Class";"EAPK_C3BA35EC_ABFA_4a7d_BEE9_07FF7563442D";"Beheer Openbare Ruimte";"8 Volkshuisvesting, Leefomgeving en Stedelijke Vernieuwing"
"EAID_282A4979_0BBC_4448_B71C_0CE64829083B";"Afspraken en Klantcontacten";"EAID_48FE13A9_2204_4631_BAEE_E2D3B10E9A2D";"Telefoononderwerp";"Class";"EAPK_5CA50A0D_7FDC_40ea_B3F3_F85E008D3549";"10 Dienstverlening";"10 Dienstverlening"
"EAID_282A4979_0BBC_4448_B71C_0CE64829083B";"Afspraken en Klantcontacten";"EAID_D8A82A45_03C3_44d5_AF32_3138A55B2E75";"Telefoonstatus";"Class";"EAPK_5CA50A0D_7FDC_40ea_B3F3_F85E008D3549";"10 Dienstverlening";"10 Dienstverlening"
"EAID_282A4979_0BBC_4448_B71C_0CE64829083B";"Afspraken en Klantcontacten";"EAID_EEB60E10_C244_4176_AB68_F0E30759269F";"Telefoontje";"Class";"EAPK_5CA50A0D_7FDC_40ea_B3F3_F85E008D3549";"10 Dienstverlening";"10 Dienstverlening"
"EAID_282A4979_0BBC_4448_B71C_0CE64829083B";"Afspraken en Klantcontacten";"EAID_5AA9821A_A88A_480b_9950_70FE017593B3";"Afspraakstatus";"Class";"EAPK_5CA50A0D_7FDC_40ea_B3F3_F85E008D3549";"10 Dienstverlening";"10 Dienstverlening"
"EAID_282A4979_0BBC_4448_B71C_0CE64829083B";"Afspraken en Klantcontacten";"EAID_16EB3936_03CB_4854_9CD8_9F0911EEA51B";"Medewerker";"Class";"EAPK_5CA50A0D_7FDC_40ea_B3F3_F85E008D3549";"10 Dienstverlening";"10 Dienstverlening"
"EAID_282A4979_0BBC_4448_B71C_0CE64829083B";"Afspraken en Klantcontacten";"EAID_4B871112_CB41_4bfb_BD43_117C63D31BB4";"ProductOfDienst";"Class";"EAPK_5CA50A0D_7FDC_40ea_B3F3_F85E008D3549";"10 Dienstverlening";"10 Dienstverlening"
"EAID_282A4979_0BBC_4448_B71C_0CE64829083B";"Afspraken en Klantcontacten";"EAID_D8142B98_64CB_408e_9941_92423543F08A";"VestigingVanZaakbehandelendeOrganisatie";"Class";"EAPK_5CA50A0D_7FDC_40ea_B3F3_F85E008D3549";"10 Dienstverlening";"10 Dienstverlening"
"EAID_282A4979_0BBC_4448_B71C_0CE64829083B";"Afspraken en Klantcontacten";"EAID_649EFD86_ED52_4293_8577_DBE5445845BF";"Zaak";"Class";"EAPK_5CA50A0D_7FDC_40ea_B3F3_F85E008D3549";"10 Dienstverlening";"10 Dienstverlening"
"EAID_282A4979_0BBC_4448_B71C_0CE64829083B";"Afspraken en Klantcontacten";"EAID_A3DAD553_0E55_4256_824B_CDB5E12CB545";"Klantcontact";"Class";"EAPK_5CA50A0D_7FDC_40ea_B3F3_F85E008D3549";"10 Dienstverlening";"10 Dienstverlening"
"EAID_282A4979_0BBC_4448_B71C_0CE64829083B";"Afspraken en Klantcontacten";"EAID_631FEEF1_88D3_4d18_ADB2_BF999068493E";"Balieafspraak";"Class";"EAPK_5CA50A0D_7FDC_40ea_B3F3_F85E008D3549";"10 Dienstverlening";"10 Dienstverlening"
"EAID_8D468696_4B9D_40b4_92F0_3BED39502098";"Archief Aanvragen";"EAID_066C9C37_0FAF_4239_8D7D_B7EBE42E4918";"Bezoeker";"Class";"EAPK_10EED4F6_744C_40c0_8B37_EFFC7E5EEC21";"Archief";"5 Sport, Cultuur en Recreatie"
"EAID_8D468696_4B9D_40b4_92F0_3BED39502098";"Archief Aanvragen";"EAID_369E453B_4C3A_48dc_9619_C36232B339D9";"Archiefstuk";"Class";"EAPK_10EED4F6_744C_40c0_8B37_EFFC7E5EEC21";"Archief";"5 Sport, Cultuur en Recreatie"
"EAID_8D468696_4B9D_40b4_92F0_3BED39502098";"Archief Aanvragen";"EAID_2F2A3590_9B34_4ec5_B0AE_B487ED241155";"Aanvraag";"Class";"EAPK_10EED4F6_744C_40c0_8B37_EFFC7E5EEC21";"Archief";"5 Sport, Cultuur en Recreatie"
"EAID_59241C4B_FD65_484b_88E5_83189334A510";"Archief Model";"EAID_FEFE9DBE_921F_4cc4_99C5_972A9C5F4C6E";"DigitaalBestand";"Class";"EAPK_10EED4F6_744C_40c0_8B37_EFFC7E5EEC21";"Archief";"5 Sport, Cultuur en Recreatie"
"EAID_59241C4B_FD65_484b_88E5_83189334A510";"Archief Model";"EAID_59CF7225_3D61_42e2_A399_7EB13450D97D";"Uitgever";"Class";"EAPK_10EED4F6_744C_40c0_8B37_EFFC7E5EEC21";"Archief";"5 Sport, Cultuur en Recreatie"
"EAID_59241C4B_FD65_484b_88E5_83189334A510";"Archief Model";"EAID_5641C50A_C0FA_4e71_B07B_26C7B1CE94ED";"Document";"Class";"EAPK_10EED4F6_744C_40c0_8B37_EFFC7E5EEC21";"Archief";"5 Sport, Cultuur en Recreatie"
"EAID_59241C4B_FD65_484b_88E5_83189334A510";"Archief Model";"EAID_D9693C25_0F66_4504_BE2B_4BBF66071026";"Plank";"Class";"EAPK_10EED4F6_744C_40c0_8B37_EFFC7E5EEC21";"Archief";"5 Sport, Cultuur en Recreatie"
"EAID_59241C4B_FD65_484b_88E5_83189334A510";"Archief Model";"EAID_CA844994_4AAE_417f_82A3_31CA5432237A";"Kast";"Class";"EAPK_10EED4F6_744C_40c0_8B37_EFFC7E5EEC21";"Archief";"5 Sport, Cultuur en Recreatie"
"EAID_59241C4B_FD65_484b_88E5_83189334A510";"Archief Model";"EAID_78DA1B42_4AF8_4650_81A0_7F2C3A450B3D";"Stelling";"Class";"EAPK_10EED4F6_744C_40c0_8B37_EFFC7E5EEC21";"Archief";"5 Sport, Cultuur en Recreatie"
"EAID_59241C4B_FD65_484b_88E5_83189334A510";"Archief Model";"EAID_604A6143_DE7F_4950_B3D4_DFB88C7F4670";"Depot";"Class";"EAPK_10EED4F6_744C_40c0_8B37_EFFC7E5EEC21";"Archief";"5 Sport, Cultuur en Recreatie"
"EAID_59241C4B_FD65_484b_88E5_83189334A510";"Archief Model";"EAID_369E453B_4C3A_48dc_9619_C36232B339D9";"Archiefstuk";"Class";"EAPK_10EED4F6_744C_40c0_8B37_EFFC7E5EEC21";"Archief";"5 Sport, Cultuur en Recreatie"
"EAID_59241C4B_FD65_484b_88E5_83189334A510";"Archief Model";"EAID_D7947186_4317_407b_A456_41DF5187E810";"Vindplaats";"Class";"EAPK_10EED4F6_744C_40c0_8B37_EFFC7E5EEC21";"Archief";"5 Sport, Cultuur en Recreatie"
"EAID_691E6481_68AC_4754_88F0_60D2877D1549";"Archief Model Indeling";"EAID_B61986A2_B8E7_4e69_AD55_E61771FDEEB4";"Ordeningsschema";"Class";"EAPK_10EED4F6_744C_40c0_8B37_EFFC7E5EEC21";"Archief";"5 Sport, Cultuur en Recreatie"
"EAID_691E6481_68AC_4754_88F0_60D2877D1549";"Archief Model Indeling";"EAID_C45E0D5D_3B2F_40a7_B12C_B6E910C516FA";"Index";"Class";"EAPK_10EED4F6_744C_40c0_8B37_EFFC7E5EEC21";"Archief";"5 Sport, Cultuur en Recreatie"
"EAID_691E6481_68AC_4754_88F0_60D2877D1549";"Archief Model Indeling";"EAID_7A080605_07C5_4947_9B35_BC6EBE2041FA";"Nadere Toegang";"Class";"EAPK_10EED4F6_744C_40c0_8B37_EFFC7E5EEC21";"Archief";"5 Sport, Cultuur en Recreatie"
"EAID_691E6481_68AC_4754_88F0_60D2877D1549";"Archief Model Indeling";"EAID_13119DEC_D451_4bec_BB37_7B1944ACCA9D";"Indeling";"Class";"EAPK_10EED4F6_744C_40c0_8B37_EFFC7E5EEC21";"Archief";"5 Sport, Cultuur en Recreatie"
"EAID_691E6481_68AC_4754_88F0_60D2877D1549";"Archief Model Indeling";"EAID_137DECB4_F249_4039_B4F3_787852C4CB11";"Periode";"Class";"EAPK_10EED4F6_744C_40c0_8B37_EFFC7E5EEC21";"Archief";"5 Sport, Cultuur en Recreatie"
"EAID_691E6481_68AC_4754_88F0_60D2877D1549";"Archief Model Indeling";"EAID_9AE5BCE3_AD6D_4241_9651_823400E3745F";"Rechthebbende";"Class";"EAPK_10EED4F6_744C_40c0_8B37_EFFC7E5EEC21";"Archief";"5 Sport, Cultuur en Recreatie"
"EAID_691E6481_68AC_4754_88F0_60D2877D1549";"Archief Model Indeling";"EAID_66DB38CC_932D_462c_9791_C60237EA9B7A";"Archiefcategorie";"Class";"EAPK_10EED4F6_744C_40c0_8B37_EFFC7E5EEC21";"Archief";"5 Sport, Cultuur en Recreatie"
"EAID_691E6481_68AC_4754_88F0_60D2877D1549";"Archief Model Indeling";"EAID_369E453B_4C3A_48dc_9619_C36232B339D9";"Archiefstuk";"Class";"EAPK_10EED4F6_744C_40c0_8B37_EFFC7E5EEC21";"Archief";"5 Sport, Cultuur en Recreatie"
"EAID_691E6481_68AC_4754_88F0_60D2877D1549";"Archief Model Indeling";"EAID_E09E5B44_4D39_455a_B0A5_390A63AC0C43";"Archief";"Class";"EAPK_10EED4F6_744C_40c0_8B37_EFFC7E5EEC21";"Archief";"5 Sport, Cultuur en Recreatie"
"EAID_EF872947_BE6B_4af5_8221_2A6AA2A0D4B7";"Archief Relaties met Kern";"EAID_77C7D6B6_44DE_44c0_A662_8E1A0A226EA8";"Documenttype";"Class";"EAPK_10EED4F6_744C_40c0_8B37_EFFC7E5EEC21";"Archief";"5 Sport, Cultuur en Recreatie"
"EAID_EF872947_BE6B_4af5_8221_2A6AA2A0D4B7";"Archief Relaties met Kern";"EAID_D73AFAEC_3BF1_4309_93FE_5354EF26DA51";"Identificatiekenmerk";"Class";"EAPK_10EED4F6_744C_40c0_8B37_EFFC7E5EEC21";"Archief";"5 Sport, Cultuur en Recreatie"
"EAID_EF872947_BE6B_4af5_8221_2A6AA2A0D4B7";"Archief Relaties met Kern";"EAID_5641C50A_C0FA_4e71_B07B_26C7B1CE94ED";"Document";"Class";"EAPK_10EED4F6_744C_40c0_8B37_EFFC7E5EEC21";"Archief";"5 Sport, Cultuur en Recreatie"
"EAID_EF872947_BE6B_4af5_8221_2A6AA2A0D4B7";"Archief Relaties met Kern";"EAID_9F4E12E4_B228_4931_AC83_1B1F60958A89";"NatuurlijkPersoon";"Class";"EAPK_10EED4F6_744C_40c0_8B37_EFFC7E5EEC21";"Archief";"5 Sport, Cultuur en Recreatie"
"EAID_EF872947_BE6B_4af5_8221_2A6AA2A0D4B7";"Archief Relaties met Kern";"EAID_9DF5AC43_3673_4b9a_BB5E_6DCA7BE28835";"Rechtspersoon";"Class";"EAPK_10EED4F6_744C_40c0_8B37_EFFC7E5EEC21";"Archief";"5 Sport, Cultuur en Recreatie"
"EAID_EF872947_BE6B_4af5_8221_2A6AA2A0D4B7";"Archief Relaties met Kern";"EAID_066C9C37_0FAF_4239_8D7D_B7EBE42E4918";"Bezoeker";"Class";"EAPK_10EED4F6_744C_40c0_8B37_EFFC7E5EEC21";"Archief";"5 Sport, Cultuur en Recreatie"
"EAID_EF872947_BE6B_4af5_8221_2A6AA2A0D4B7";"Archief Relaties met Kern";"EAID_9AE5BCE3_AD6D_4241_9651_823400E3745F";"Rechthebbende";"Class";"EAPK_10EED4F6_744C_40c0_8B37_EFFC7E5EEC21";"Archief";"5 Sport, Cultuur en Recreatie"
"EAID_EF872947_BE6B_4af5_8221_2A6AA2A0D4B7";"Archief Relaties met Kern";"EAID_59CF7225_3D61_42e2_A399_7EB13450D97D";"Uitgever";"Class";"EAPK_10EED4F6_744C_40c0_8B37_EFFC7E5EEC21";"Archief";"5 Sport, Cultuur en Recreatie"
"EAID_53E16E43_EDF1_4b47_B0DD_C77D8FEFCCA3";"BAG";"EAID_120EA50B_B9A2_4869_A3BE_46931F631D33";"Wijk";"Class";"EAPK_FC04420D_2055_4fcf_A2DB_E4C12E2150F1";"BAG";"99 Kern"
"EAID_53E16E43_EDF1_4b47_B0DD_C77D8FEFCCA3";"BAG";"EAID_38649FF6_88C6_437d_AF8E_A9023D55E16C";"Buurt";"Class";"EAPK_FC04420D_2055_4fcf_A2DB_E4C12E2150F1";"BAG";"99 Kern"
"EAID_53E16E43_EDF1_4b47_B0DD_C77D8FEFCCA3";"BAG";"EAID_C862F3C5_9E96_4755_B8B6_10A1508FD768";"soortWoonobject";"Enumeration";"EAPK_FC04420D_2055_4fcf_A2DB_E4C12E2150F1";"BAG";"99 Kern"
"EAID_53E16E43_EDF1_4b47_B0DD_C77D8FEFCCA3";"BAG";"EAID_E44C5FB6_67AB_4efe_B3F0_C6AFE5B6192F";"Boolean";"Enumeration";"EAPK_FC04420D_2055_4fcf_A2DB_E4C12E2150F1";"BAG";"99 Kern"
"EAID_53E16E43_EDF1_4b47_B0DD_C77D8FEFCCA3";"BAG";"EAID_8C51DCF1_E81C_4590_88B2_EE5661B15F9A";"TypeAdresseerbaarObject";"Enumeration";"EAPK_FC04420D_2055_4fcf_A2DB_E4C12E2150F1";"BAG";"99 Kern"
"EAID_53E16E43_EDF1_4b47_B0DD_C77D8FEFCCA3";"BAG";"EAID_EA6F820F_C458_4b24_8055_5C2CC76F5904";"Gemeente";"Class";"EAPK_FC04420D_2055_4fcf_A2DB_E4C12E2150F1";"BAG";"99 Kern"
"EAID_53E16E43_EDF1_4b47_B0DD_C77D8FEFCCA3";"BAG";"EAID_24BDA4BA_CFCC_4e3f_8305_671F4ED7C502";"Woonplaats";"Class";"EAPK_FC04420D_2055_4fcf_A2DB_E4C12E2150F1";"BAG";"99 Kern"
"EAID_53E16E43_EDF1_4b47_B0DD_C77D8FEFCCA3";"BAG";"EAID_461EFCF0_E65E_4c7c_B44D_8F36C36FDCE4";"Verblijfsobject";"Class";"EAPK_FC04420D_2055_4fcf_A2DB_E4C12E2150F1";"BAG";"99 Kern"
"EAID_53E16E43_EDF1_4b47_B0DD_C77D8FEFCCA3";"BAG";"EAID_86952BDA_ADF6_4ff0_B8C7_BA3AA889A40B";"Standplaats";"Class";"EAPK_FC04420D_2055_4fcf_A2DB_E4C12E2150F1";"BAG";"99 Kern"
"EAID_53E16E43_EDF1_4b47_B0DD_C77D8FEFCCA3";"BAG";"EAID_11595AD8_CE67_40dd_BDA9_489DC7D244ED";"Pand";"Class";"EAPK_FC04420D_2055_4fcf_A2DB_E4C12E2150F1";"BAG";"99 Kern"
"EAID_53E16E43_EDF1_4b47_B0DD_C77D8FEFCCA3";"BAG";"EAID_BFE30E32_8CB9_4272_A559_9FB3FD74DACC";"OpenbareRuimte";"Class";"EAPK_FC04420D_2055_4fcf_A2DB_E4C12E2150F1";"BAG";"99 Kern"
"EAID_53E16E43_EDF1_4b47_B0DD_C77D8FEFCCA3";"BAG";"EAID_8A04280B_E0B4_4e36_B448_C99750393D0D";"AdresseerbaarObject";"Class";"EAPK_FC04420D_2055_4fcf_A2DB_E4C12E2150F1";"BAG";"99 Kern"
"EAID_53E16E43_EDF1_4b47_B0DD_C77D8FEFCCA3";"BAG";"EAID_785E3B69_19DA_4952_84A8_592965B9229A";"Ligplaats";"Class";"EAPK_FC04420D_2055_4fcf_A2DB_E4C12E2150F1";"BAG";"99 Kern"
"EAID_53E16E43_EDF1_4b47_B0DD_C77D8FEFCCA3";"BAG";"EAID_32A22BC6_89EC_44af_8D7D_79B12311AE2D";"Nummeraanduiding";"Class";"EAPK_FC04420D_2055_4fcf_A2DB_E4C12E2150F1";"BAG";"99 Kern"
"EAID_53E16E43_EDF1_4b47_B0DD_C77D8FEFCCA3";"BAG";"EAID_77D2A1A7_BD0E_4d9f_B1AB_4C150BBE9804";"statusVerblijfsobject";"Enumeration";"EAPK_FC04420D_2055_4fcf_A2DB_E4C12E2150F1";"BAG";"99 Kern"
