"nr";"GEMMA-naam";"GGM-naam";"GEMMA-guid";"GGM-guid";"GEMMA-type";"GGM-uml-type";"GEMMA-definitie";"GGM-definitie";"GEMMA-toelichting";"GGM-toelichting";"GEMMA-source-guid";"GGM-source-guid";"GEMMA-target-guid";"GGM-target-guid";"Datum-tijd-export"
"19";"";"";"";"EAID_3A088C24_90A1_4a98_BB67_6DEC41BC8D7B";"association-relationship";"association";"";"";"";"";"";"EAID_24A45AF2_13FF_491d_9E3D_F8D8113F28E1";"";"EAID_1F4F46AC_825C_46c7_A417_BFA6775FF3D9";"09072026-00:43:48"
"20";"";"";"";"EAID_F6952DDC_3D60_4847_930A_E84AB1FABBAA";"association-relationship";"association";"";"";"";"";"";"EAID_24A45AF2_13FF_491d_9E3D_F8D8113F28E1";"";"EAID_B1CD002A_85A3_41db_A905_D9A7512A7307";"09072026-00:43:48"
"21";"";"";"";"EAID_2F385F1E_FAF1_45e4_9632_080E119C8894";"association-relationship";"association";"";"";"";"";"";"EAID_24A45AF2_13FF_491d_9E3D_F8D8113F28E1";"";"EAID_2F1FD6B9_AF03_4864_B40C_027155621707";"09072026-00:43:48"
"22";"";"";"";"EAID_2D3D13CF_83DE_4d64_8792_11D476954F4D";"association-relationship";"association";"";"";"";"";"";"EAID_24A45AF2_13FF_491d_9E3D_F8D8113F28E1";"";"EAID_E7BC941E_A54D_49e1_8F77_1D8D7CE8EBD7";"09072026-00:43:48"
"23";"";"";"";"EAID_BA1DAE52_6E3B_4141_9B1C_C8F2356E4FB0";"association-relationship";"association";"";"";"";"";"";"EAID_6B1C7773_77F8_47a5_8C4E_E7E129148ADB";"";"EAID_F600A89B_EE8E_4b86_949E_F15E9328EB83";"09072026-00:43:48"
"24";"";"";"";"EAID_C7927091_EE48_4c92_9C92_E904145DCB9D";"association-relationship";"association";"";"";"";"";"";"EAID_24A45AF2_13FF_491d_9E3D_F8D8113F28E1";"";"EAID_8C8FAE2D_5F4D_4e3b_8EA3_43FF544775F2";"09072026-00:43:48"
"25";"";"";"";"EAID_215D9398_9BE9_40b4_88E6_6183BF173600";"association-relationship";"association";"";"";"";"";"";"EAID_24A45AF2_13FF_491d_9E3D_F8D8113F28E1";"";"EAID_8EE515EA_11F9_4f56_B9AA_F7B0904B39E7";"09072026-00:43:48"
"26";"";"";"";"EAID_961F974A_4FF8_41ce_A573_0ECF65593CED";"association-relationship";"association";"";"";"";"";"";"EAID_E250F980_18C3_4666_8022_302ACDC18A56";"";"EAID_DD9C65D4_0B47_4623_9BE4_6CE711DB846E";"09072026-00:43:48"
"27";"";"";"";"EAID_8A0284D9_1A7B_4c83_A1CF_6A8160046C5E";"association-relationship";"association";"";"";"";"";"";"EAID_FBDF2AE8_AC88_4288_9B40_5B26C450FC20";"";"EAID_E250F980_18C3_4666_8022_302ACDC18A56";"09072026-00:43:48"
"28";"";"";"";"EAID_3DDE0EC5_209F_4ffe_A4B5_78A036D86D89";"association-relationship";"association";"";"";"";"";"";"EAID_24A45AF2_13FF_491d_9E3D_F8D8113F28E1";"";"EAID_FBDF2AE8_AC88_4288_9B40_5B26C450FC20";"09072026-00:43:48"
"29";"";"";"";"EAID_1820B8A7_B5FA_4df2_9310_9A332743E529";"association-relationship";"association";"";"";"";"";"";"EAID_24A45AF2_13FF_491d_9E3D_F8D8113F28E1";"";"EAID_6B1C7773_77F8_47a5_8C4E_E7E129148ADB";"09072026-00:43:48"
"30";"";"";"";"EAID_F0232FF3_B0A6_4fe2_B1E1_94240BBA4EDE";"association-relationship";"association";"";"";"";"";"";"EAID_24A45AF2_13FF_491d_9E3D_F8D8113F28E1";"";"EAID_40C7DD8D_7F0A_4019_860A_EB59841D1DAF";"09072026-00:43:48"
"31";"";"";"";"EAID_8CDF19AE_21FB_4071_873D_C99D3F0B1CEA";"association-relationship";"association";"";"";"";"";"";"EAID_24A45AF2_13FF_491d_9E3D_F8D8113F28E1";"";"EAID_AFB7351F_6761_4db2_ACC4_537A1B7C0CAA";"09072026-00:43:48"
"32";"";"";"";"EAID_F3F8C187_FB01_42d0_AAC0_8D92E7D3B6B9";"association-relationship";"association";"";"";"";"";"";"EAID_24A45AF2_13FF_491d_9E3D_F8D8113F28E1";"";"EAID_14E98618_2093_4442_9593_1B15890260A8";"09072026-00:43:48"
"33";"";"";"";"EAID_E90A8EA3_8DFD_422f_A41E_6454BEBA891C";"association-relationship";"association";"";"";"";"";"";"EAID_24A45AF2_13FF_491d_9E3D_F8D8113F28E1";"";"EAID_A514BC85_0096_4bbc_B393_DE1784056420";"09072026-00:43:48"
"34";"";"";"";"EAID_FF67E901_9A5A_42d6_A057_D9C4CCF28661";"association-relationship";"association";"";"";"";"";"";"EAID_24A45AF2_13FF_491d_9E3D_F8D8113F28E1";"";"EAID_5E0C3ED7_DCB9_4fc0_A11C_50F079D74EFD";"09072026-00:43:48"
"35";"";"";"";"EAID_233E4DAA_5F42_4e31_9618_0C8DE4DDA387";"association-relationship";"association";"";"";"";"";"";"EAID_24A45AF2_13FF_491d_9E3D_F8D8113F28E1";"";"EAID_48CCBBD0_2327_4620_881C_A39F151BABD6";"09072026-00:43:48"
"36";"";"";"";"EAID_B8F143EF_FACE_4bdc_8C94_967CCC0831E3";"association-relationship";"association";"";"";"";"";"";"EAID_24A45AF2_13FF_491d_9E3D_F8D8113F28E1";"";"EAID_F0C047DA_725B_486b_9FF3_EB60662C1895";"09072026-00:43:48"
"37";"";"";"";"EAID_FE9C4793_57C5_48fe_964E_358BFA3B3EF2";"association-relationship";"association";"";"";"";"";"";"EAID_24A45AF2_13FF_491d_9E3D_F8D8113F28E1";"";"EAID_609AECDB_CFEA_4316_9541_5239A26CC069";"09072026-00:43:48"
"38";"";"";"";"EAID_73891901_299C_4b86_B0BE_B9D85E13C08B";"association-relationship";"association";"";"";"";"";"";"EAID_D46DA88A_F3EB_4c72_85DA_C0C4239289E2";"1b771d9e-6208-4916-86ed-a88a79cac648";"EAID_C1542AC8_2F3C_4e62_ADFA_A9FB3358DAB1";"09072026-00:43:48"
"39";"";"";"";"EAID_B0C2A9A7_90BC_44d0_9F0B_BDF158E4CBDD";"association-relationship";"association";"";"";"";"";"";"EAID_DCF0623A_694F_4b82_B615_F499F169C19A";"1b771d9e-6208-4916-86ed-a88a79cac648";"EAID_C1542AC8_2F3C_4e62_ADFA_A9FB3358DAB1";"09072026-00:43:48"
"40";"";"";"";"EAID_92C1F6CA_CC91_43cb_95FC_AC288F3A8790";"association-relationship";"association";"";"";"";"";"af282ab4-d6c4-4a5f-8126-db9b70cff048";"EAID_3015DCE3_7C05_4160_A717_533553258C15";"f152bdf8-bd60-4c88-b739-e3091afdbf7a";"EAID_32A22BC6_89EC_44af_8D7D_79B12311AE2D";"09072026-00:43:48"
"41";"";"";"fcfd71ea-e250-4c03-80f7-3f67a2fda167";"EAID_A152F8E6_989C_4a51_8D83_A7FBE21305DE";"association-relationship";"association";"";"";"";"";"af282ab4-d6c4-4a5f-8126-db9b70cff048";"EAID_3015DCE3_7C05_4160_A717_533553258C15";"403c547f-8d7e-4235-99d9-d155063c6085";"EAID_31A87864_6CE0_4e93_A493_ECD0FBDD4461";"09072026-00:43:48"
"42";"";"";"";"EAID_9A98973C_5B7F_4f67_8355_381743471AB4";"association-relationship";"association";"";"";"";"";"429cbd2f-a86d-49d9-9c8a-0de67a7e7d3e";"EAID_2651D6E0_6AC8_43a8_A4F6_4706209BAC8E";"";"EAID_755B80B2_6522_4c58_A998_D3F00859FE78";"09072026-00:43:48"
"43";"";"";"4d39733b-e03c-4fb0-95a4-8b0ece2f7f75";"EAID_12D334F5_9996_4c2a_B0C1_83D664E82ACF";"association-relationship";"association";"";"";"";"";"e1371e07-969e-4a34-be81-0a23ffd541dd";"EAID_AF9534B0_7CBD_4061_9276_A7B6698B383A";"af282ab4-d6c4-4a5f-8126-db9b70cff048";"EAID_3015DCE3_7C05_4160_A717_533553258C15";"09072026-00:43:48"
