"nr";"GEMMA-naam";"GGM-naam";"GEMMA-guid";"GGM-guid";"GEMMA-type";"GGM-uml-type";"GEMMA-definitie";"GGM-definitie";"GEMMA-toelichting";"GGM-toelichting";"GEMMA-source-guid";"GGM-source-guid";"GEMMA-target-guid";"GGM-target-guid";"Datum-tijd-export"
"221";"";"";"a0abd7af-11e6-45eb-9a22-8414b5c7ae51";"EAID_34FCD611_8785_4de3_995B_253643231D39";"specialization-relationship";"generalization";"";"";"";"";"6ab6802e-9485-43d1-be15-46db4b9c8a0d";"EAID_2FC6C6EB_DF35_49e6_9694_1B8BD53537B0";"6f20ada6-28e9-4358-9b66-1575021ee431";"EAID_DDFF98D8_99FF_47b5_82D1_7FF2376750D6";"09072026-00:43:48"
"222";"";"";"c076df27-5b82-45ed-9fb8-9aa07ed20d2f";"EAID_E5871441_C7F2_431e_ABD9_3ABB20998E0B";"specialization-relationship";"generalization";"";"";"";"";"1c3ee208-9d74-45ba-9836-3f3ea165cd74";"EAID_3D9D2E7B_525E_43d9_B08F_EDE47F8A0C94";"6f20ada6-28e9-4358-9b66-1575021ee431";"EAID_DDFF98D8_99FF_47b5_82D1_7FF2376750D6";"09072026-00:43:48"
"223";"";"";"5f009095-a883-4c7e-9640-7979752fb1b9";"EAID_7C0BE110_2B2C_4e39_A8B8_EF105FBC6FA4";"specialization-relationship";"generalization";"";"";"";"";"bbf6bcce-f2dc-4b8d-95a8-561abd7c1d76";"EAID_F90F8E5E_7402_4c44_AC69_91A4175E5D47";"71c5f929-bbab-484f-96c0-cc7a57c9dcf1";"EAID_081F7413_A4D0_49e7_98E2_E0F3F4299750";"09072026-00:43:48"
"224";"";"";"fe1d665c-9137-461b-81a1-8d7f41309ab6";"EAID_AF7F4C05_D98D_4ddb_A0FE_F0361A1F9546";"specialization-relationship";"generalization";"";"";"";"";"7685ae20-7bed-4f7e-95fd-3499b35a6ef9";"EAID_6B1F7274_19A7_4349_835E_85CBEFFEE35A";"71c5f929-bbab-484f-96c0-cc7a57c9dcf1";"EAID_081F7413_A4D0_49e7_98E2_E0F3F4299750";"09072026-00:43:48"
"225";"";"";"0a30fb52-8cf6-4711-9f58-1b02b84c7076";"EAID_1B9439BF_6E55_4046_AA5F_66B5697C9CE3";"specialization-relationship";"generalization";"";"";"";"";"16995484-0391-40d1-99c3-2ba2292e276f";"EAID_C2A7756C_87E9_44f0_85A9_673F3956BB48";"b2498fa2-f9ff-48dd-946d-8b8ed395da81";"EAID_10C06EB3_F94A_4005_9C66_0DAE61B96192";"09072026-00:43:48"
"226";"";"";"6bece7e9-b8fe-4acb-8f34-24139221b795";"EAID_12B5F13C_51AA_4cae_A23E_439F1EE85110";"specialization-relationship";"generalization";"";"";"";"";"c92e9c16-1ec3-46f8-b209-b15a226e9477";"EAID_8587D910_7A9C_46d8_BF27_27433E9B6DAD";"b2498fa2-f9ff-48dd-946d-8b8ed395da81";"EAID_10C06EB3_F94A_4005_9C66_0DAE61B96192";"09072026-00:43:48"
"227";"";"";"1e74c1e8-cd1a-49db-8b62-fa115d4a9ad4";"EAID_AB6968AA_E169_4203_A1D4_C637CDFD6EFA";"specialization-relationship";"generalization";"";"";"";"";"c87f39a5-c4b4-4c82-bf23-f9fc521ad0aa";"EAID_45591365_C55F_4735_9533_D3BBB0AB6571";"b2498fa2-f9ff-48dd-946d-8b8ed395da81";"EAID_10C06EB3_F94A_4005_9C66_0DAE61B96192";"09072026-00:43:48"
"228";"";"";"81ad5275-8f6f-4501-8b3a-4ad79f502638";"EAID_EBF0C505_6860_4103_A0D5_15DF00F88114";"specialization-relationship";"generalization";"";"";"";"";"f5c91145-fba4-47cb-aaf9-bb9c64e19a21";"EAID_A8945FD7_EA20_418e_8E7F_18F13F16E338";"5003634c-22b1-4f9a-bf73-8cdb4c42a8b4";"EAID_C0F1A08E_C6CD_4524_A2E0_0E5CA483DCFD";"09072026-00:43:48"
"229";"";"";"709d651e-2029-41eb-abbd-908f758d4174";"EAID_36305C3C_7347_455c_85EB_A63018995066";"specialization-relationship";"generalization";"";"";"";"";"55c7fd37-4d03-45f4-b374-69aa690d1477";"EAID_D67A4AC2_9A17_4cd0_82D7_732A89018FDA";"f5365fcc-279e-42e5-bde4-e7b10700a8ed";"EAID_B027D022_41D9_4c63_A63D_8F5111689564";"09072026-00:43:48"
"230";"";"";"cb0ee56f-ca11-4f9b-a254-3d57aff48380";"EAID_5A9D905C_7FFC_4a63_A4EB_79CA083B2FD7";"specialization-relationship";"generalization";"";"";"";"";"764e6fdf-299f-4867-8257-7532f1e56ebf";"EAID_2E5F9AF9_D1BA_4dc0_9621_4101D24B8ABD";"f5365fcc-279e-42e5-bde4-e7b10700a8ed";"EAID_B027D022_41D9_4c63_A63D_8F5111689564";"09072026-00:43:48"
"231";"";"";"cebdb83f-213d-46f5-b0fb-3f8795f384dc";"EAID_90A8858D_F461_497b_A5B8_498FE330EE0B";"specialization-relationship";"generalization";"";"";"";"";"5003634c-22b1-4f9a-bf73-8cdb4c42a8b4";"EAID_C0F1A08E_C6CD_4524_A2E0_0E5CA483DCFD";"f5365fcc-279e-42e5-bde4-e7b10700a8ed";"EAID_B027D022_41D9_4c63_A63D_8F5111689564";"09072026-00:43:48"
"232";"";"";"3ce32c19-4860-4363-a225-79bdcd023d13";"EAID_AD651614_CA9B_4f11_A212_CD12CB2830CD";"specialization-relationship";"generalization";"";"";"";"";"d35905fd-2aad-49e6-8ee5-5147c253a478";"EAID_0B3C37DD_42A1_4b6b_B534_CD276112FD3B";"f5365fcc-279e-42e5-bde4-e7b10700a8ed";"EAID_B027D022_41D9_4c63_A63D_8F5111689564";"09072026-00:43:48"
"233";"";"";"4d949cc4-9354-444a-adb2-6d0c3a4e5b7d";"EAID_B3EAA4F8_EB2B_438a_86BC_DDFBA14B473E";"specialization-relationship";"generalization";"";"";"";"";"92104ecd-beda-441d-b5fd-b6d2296969d0";"EAID_E8C75DAB_F9AE_4fe2_9114_870434F2EA80";"f5365fcc-279e-42e5-bde4-e7b10700a8ed";"EAID_B027D022_41D9_4c63_A63D_8F5111689564";"09072026-00:43:48"
"234";"";"";"35824aa8-abce-4629-ac30-f78bede892f2";"EAID_B8ECB96C_36B2_450e_AD4D_B1AA172E1BBF";"specialization-relationship";"generalization";"";"";"";"";"6a2e72c3-94f8-4dfd-a68c-03aab1279c75";"EAID_DD277E82_0CA5_4460_918F_9178B5F01886";"f5365fcc-279e-42e5-bde4-e7b10700a8ed";"EAID_B027D022_41D9_4c63_A63D_8F5111689564";"09072026-00:43:48"
"235";"";"";"97a14f1a-e9b9-4d4c-bc5c-fca435e15610";"EAID_DB85B252_E0E1_44a7_81E3_93C293FD9B8C";"specialization-relationship";"generalization";"";"";"";"";"acbda3e0-9767-49bb-8d4c-2b5ea0160056";"EAID_6C92F0F8_BC92_428c_B729_1A10D515DAEF";"f5365fcc-279e-42e5-bde4-e7b10700a8ed";"EAID_B027D022_41D9_4c63_A63D_8F5111689564";"09072026-00:43:48"
"236";"";"";"cbbc9496-a9bf-4324-89fa-2d6116a0727c";"EAID_EFA338EB_CD5F_4dca_9AC1_505E986514EB";"specialization-relationship";"generalization";"";"";"";"";"41cea01b-de1c-4ee5-92c4-776fe8a17753";"EAID_D0AB8CF6_F6CC_4337_BE07_DFE6B3CEFBB3";"f5365fcc-279e-42e5-bde4-e7b10700a8ed";"EAID_B027D022_41D9_4c63_A63D_8F5111689564";"09072026-00:43:48"
"237";"";"";"5ef697b5-2d69-4dce-851c-e9bad42d97ff";"EAID_D3B2CB64_5809_4f22_9702_11BF9D5D31E8";"specialization-relationship";"generalization";"";"";"";"";"d548564c-a918-47e4-ae60-697f0ed3e7aa";"EAID_FFD22E11_7A3A_459a_B575_928C67E8D1F3";"5003634c-22b1-4f9a-bf73-8cdb4c42a8b4";"EAID_C0F1A08E_C6CD_4524_A2E0_0E5CA483DCFD";"09072026-00:43:48"
"238";"";"";"";"EAID_D4FC4F07_C62A_411b_9887_DFC4A31ABF95";"association-relationship";"association";"";"";"";"";"";"EAID_A2451674_6C19_4bf9_81F9_57CDE2F60144";"";"EAID_0CF1C34D_8AD5_4ac5_8538_87252E66A8C8";"09072026-00:43:48"
"239";"";"";"4247c165-e58a-4335-8d5c-707dc00cf202";"EAID_A785B084_F178_41fa_869D_2AE6BEF5BE7C";"specialization-relationship";"generalization";"";"";"";"";"4694a321-36db-4a54-a7ab-6c3895a4e288";"EAID_3AFD7E5F_8061_4776_A332_334AF4125E7D";"5003634c-22b1-4f9a-bf73-8cdb4c42a8b4";"EAID_C0F1A08E_C6CD_4524_A2E0_0E5CA483DCFD";"09072026-00:43:48"
"240";"";"";"9b60f596-4841-4472-a38f-c0af181c91ea";"EAID_DC5627CF_74C4_41e0_BA28_FD785F297154";"specialization-relationship";"generalization";"";"";"";"";"3907c387-dc68-4c15-a98c-edd640042495";"EAID_17FCEF39_AB9D_4516_9C60_1DDA61D87356";"bc6f065d-05c9-454d-a18d-1c0c2a2dfe15";"EAID_44EC6082_2682_43c7_A52E_0AD05B06A046";"09072026-00:43:48"
"241";"";"";"52371dbe-a1f8-48d0-8d17-20d519090d93";"EAID_C3262888_F005_4505_A9C8_FB4E3404632B";"specialization-relationship";"generalization";"";"";"";"";"06ee795e-36b8-4e13-991d-02a5d91ef015";"EAID_5E06339C_13EE_44ca_BC40_0FC4B9DC8349";"cad45b80-14d3-4a0c-a906-0c1614dc9570";"EAID_9DF5AC43_3673_4b9a_BB5E_6DCA7BE28835";"09072026-00:43:48"
"242";"";"";"53695a85-a5c1-445a-9b63-ccafcd80a7f0";"EAID_05E467BB_6588_411b_9079_294A9FA41A1F";"specialization-relationship";"generalization";"";"";"";"";"b64affbe-e43f-4f32-acce-8900b6f409e8";"EAID_B75EE7EF_DC1F_47da_A95C_B9662075684D";"cad45b80-14d3-4a0c-a906-0c1614dc9570";"EAID_9DF5AC43_3673_4b9a_BB5E_6DCA7BE28835";"09072026-00:43:48"
"243";"";"";"";"EAID_D6C938D2_42AB_4780_884E_97918389B624";"specialization-relationship";"generalization";"";"";"";"";"";"EAID_46386087_923F_402e_BB6B_6DE39D73349A";"f152bdf8-bd60-4c88-b739-e3091afdbf7a";"EAID_32A22BC6_89EC_44af_8D7D_79B12311AE2D";"09072026-00:43:48"
"244";"";"";"374498b8-314b-4e29-a6f1-7758e5e7e94c";"EAID_F0BCB77A_4997_4d83_97EF_43AB2BA211E0";"specialization-relationship";"generalization";"";"";"";"";"eb838412-7041-4a22-a50d-fdd255391bc1";"EAID_EDC8B01F_4802_4562_BC41_C2CAD76880B6";"cad45b80-14d3-4a0c-a906-0c1614dc9570";"EAID_9DF5AC43_3673_4b9a_BB5E_6DCA7BE28835";"09072026-00:43:48"
"245";"";"";"6876cb17-431e-4eec-9788-ad359774b553";"EAID_6B2C12F4_9570_41fc_A6D5_620F57C33612";"specialization-relationship";"generalization";"";"";"";"";"a6741440-a70f-4d05-b164-6a21b867b4d3";"EAID_8D52E9F1_9CC9_42c6_A347_E68E29718E55";"671ec5bd-e8ac-44d7-8a01-cc9b439c6c5f";"EAID_8C809341_AC60_4378_8BA0_0843E8C06AF3";"09072026-00:43:48"
"246";"";"";"6ef52cf0-939f-454f-a6a5-55ef7fd55e4e";"EAID_160B259E_634D_4b8a_A9BC_54EC52438F5F";"specialization-relationship";"generalization";"";"";"";"";"e21e51ee-3a32-444b-80c7-b6694ff37253";"EAID_E74D0D46_66EB_4deb_A540_7AB08E95F956";"cad45b80-14d3-4a0c-a906-0c1614dc9570";"EAID_9DF5AC43_3673_4b9a_BB5E_6DCA7BE28835";"09072026-00:43:48"
"247";"";"";"30cd3a06-6963-4451-b872-48dda71451b0";"EAID_C571BFF8_D84B_481e_8A46_D9706B3AB3D1";"specialization-relationship";"generalization";"";"";"";"";"85452d63-8236-431f-9dde-cebfc88112b0";"EAID_59F3063A_13A6_4cbc_A387_045A6B126746";"6eaed538-bcc5-4648-b0f2-4c5095b9f514";"EAID_3D5CCB29_91E4_458e_8BCD_6741198E45B8";"09072026-00:43:48"
"248";"";"";"";"EAID_7995B3F4_9366_472e_96A4_BCFBF6DFB7EB";"specialization-relationship";"generalization";"";"";"";"";"";"EAID_53B0C49F_1BDE_4fee_BB0B_0D82517177CC";"02f66265-00ae-418d-8d0e-dcbaf36652bb";"EAID_936A4E8B_3E5A_44b6_8A5D_EFB39F83FB6D";"09072026-00:43:48"
"249";"";"";"fc148fcb-9ebb-472e-94c7-ca7c56d52a7e";"EAID_B8C56861_C624_4bb4_9DDC_F096ED47139C";"specialization-relationship";"generalization";"";"";"";"";"24e40e1f-4e7b-47ad-a1b3-4050e365f68a";"EAID_FE559B58_A6CD_4108_82BE_98E1AEBFD9BD";"cd27cd50-1721-4870-a292-ea0f24d1ada4";"EAID_9F4E12E4_B228_4931_AC83_1B1F60958A89";"09072026-00:43:48"
"250";"";"";"fec7f377-4093-46e9-8580-f4678ca45c8d";"EAID_0051D0C2_0529_422f_9F8F_34BD200A2C9B";"specialization-relationship";"generalization";"";"";"";"";"ddefe4a6-d89c-432d-b27a-b96cb575b16a";"EAID_131BDD67_2A31_43c5_9125_F12DE2D98D2D";"cd27cd50-1721-4870-a292-ea0f24d1ada4";"EAID_9F4E12E4_B228_4931_AC83_1B1F60958A89";"09072026-00:43:48"
"251";"";"";"c7057fa8-c6d1-4c09-a22b-c8b36765f8da";"EAID_DC562D5C_370F_4e49_9D81_1454BD5D73BB";"specialization-relationship";"generalization";"";"";"";"";"8c200706-b80b-44f7-9928-bec39e0db21f";"EAID_BBBB63AC_B546_409b_B6D4_53DB561253B7";"6cc6afe6-e4c6-4e2b-a359-f278b23700db";"EAID_16EB3936_03CB_4854_9CD8_9F0911EEA51B";"09072026-00:43:48"
"252";"";"";"";"EAID_BE356FF7_ABE1_4853_B32E_947B14EC26E1";"association-relationship";"usage";"";"";"";"";"bc6f065d-05c9-454d-a18d-1c0c2a2dfe15";"EAID_44EC6082_2682_43c7_A52E_0AD05B06A046";"10eaa33f-03bf-42b4-9310-56add2cb5a7b";"EAID_5641C50A_C0FA_4e71_B07B_26C7B1CE94ED";"09072026-00:43:48"
"253";"";"";"";"EAID_E222FE00_25DF_45a1_9EA0_466D53792702";"association-relationship";"usage";"";"";"";"";"686c0af1-67b2-42a4-8690-060705617c13";"EAID_01D90490_C76A_444a_BFCE_355AFC5FB012";"10eaa33f-03bf-42b4-9310-56add2cb5a7b";"EAID_5641C50A_C0FA_4e71_B07B_26C7B1CE94ED";"09072026-00:43:48"
"254";"";"";"";"EAID_0EB48345_AE35_4691_B63D_F1814734DCBD";"association-relationship";"usage";"";"";"";"";"8d9233d7-dfb9-4b87-bab2-61631a632f95";"EAID_33E5EA10_F43A_4966_B9C1_875F0E2C1B52";"10eaa33f-03bf-42b4-9310-56add2cb5a7b";"EAID_5641C50A_C0FA_4e71_B07B_26C7B1CE94ED";"09072026-00:43:48"
"255";"";"";"";"EAID_016A253A_7D21_4e89_88A5_30B317D2DFEF";"association-relationship";"usage";"";"";"";"";"";"EAID_B598FF22_CDD0_486f_B528_99421D0FA608";"10eaa33f-03bf-42b4-9310-56add2cb5a7b";"EAID_5641C50A_C0FA_4e71_B07B_26C7B1CE94ED";"09072026-00:43:48"
"256";"";"";"";"EAID_5EA0C45F_50B0_43bb_9481_B6A2854026FF";"association-relationship";"usage";"";"";"";"";"";"EAID_1D87490A_9F07_424f_BE6F_5E9C11376B05";"10eaa33f-03bf-42b4-9310-56add2cb5a7b";"EAID_5641C50A_C0FA_4e71_B07B_26C7B1CE94ED";"09072026-00:43:48"
"257";"";"";"5517831e-a179-4dcf-b1c9-696df84b15ea";"EAID_23019C72_EC24_499e_A2EF_58190937DFD5";"specialization-relationship";"generalization";"";"";"";"";"113af80a-7e3e-41f6-8f79-8d0d48c4c257";"EAID_EA7FE08E_34F7_45d2_BE2E_E4E3B8333BF3";"cad45b80-14d3-4a0c-a906-0c1614dc9570";"EAID_9DF5AC43_3673_4b9a_BB5E_6DCA7BE28835";"09072026-00:43:48"
"258";"";"";"";"EAID_868A0305_46EE_4dd7_99D3_35198598C18A";"specialization-relationship";"generalization";"";"";"";"";"";"EAID_A9B89FF7_BCED_49fc_97A4_2A98BCED5B17";"f14fa1cf-f2c7-4bd6-862d-28ff1616a882";"EAID_8E6BAEF8_1878_400f_9244_23575BD41EAB";"09072026-00:43:48"
"259";"";"";"";"EAID_EB08C216_8BEA_4377_8A48_A60BCC114A68";"specialization-relationship";"generalization";"";"";"";"";"460ada62-9cdd-478f-9555-4fb161ebc0b3";"EAID_8A04280B_E0B4_4e36_B448_C99750393D0D";"f08625cc-cc49-4664-91fa-823b217d333f";"EAID_91F9D39E_0322_42c6_AE7F_5027B36F3EC3";"09072026-00:43:48"
"260";"";"";"";"EAID_055869D2_9B49_49d5_BB2A_87FD878FBEEF";"specialization-relationship";"generalization";"";"";"";"";"";"EAID_0303A7A4_EF51_4262_AEE0_642FA5064807";"f1220c91-e576-4a25-9cdb-0a2b991ae362";"EAID_79284529_B817_4e3f_BE51_AEAFC60BDE44";"09072026-00:43:48"
"261";"";"";"";"EAID_9E2921AC_18D5_4701_BCCF_5D7435C5AEEB";"specialization-relationship";"generalization";"";"";"";"";"";"EAID_85E3996B_578D_4313_B078_2773F98412D9";"f1220c91-e576-4a25-9cdb-0a2b991ae362";"EAID_79284529_B817_4e3f_BE51_AEAFC60BDE44";"09072026-00:43:48"
"262";"";"";"";"EAID_DD9A1AE6_546C_44d9_8890_217CF7DECA25";"specialization-relationship";"generalization";"";"";"";"";"";"EAID_FAB83AD1_DC8C_4f78_B54F_33466EB9B139";"f1220c91-e576-4a25-9cdb-0a2b991ae362";"EAID_79284529_B817_4e3f_BE51_AEAFC60BDE44";"09072026-00:43:48"
"263";"";"";"";"EAID_103F7AEE_AE14_4696_B25B_02E714FB9F4E";"specialization-relationship";"generalization";"";"";"";"";"";"EAID_CD06432A_B69D_4ab2_A5B0_C4C3092835A0";"f1220c91-e576-4a25-9cdb-0a2b991ae362";"EAID_79284529_B817_4e3f_BE51_AEAFC60BDE44";"09072026-00:43:48"
"264";"";"";"";"EAID_CDCD16ED_13EB_4f40_AC5A_53E2816AC050";"specialization-relationship";"generalization";"";"";"";"";"";"EAID_20437683_6777_4c7b_B44B_1E3A216239AA";"f1220c91-e576-4a25-9cdb-0a2b991ae362";"EAID_79284529_B817_4e3f_BE51_AEAFC60BDE44";"09072026-00:43:48"
"265";"";"";"";"EAID_FFC33549_5CC9_42e5_B644_A416BFFCE43B";"specialization-relationship";"generalization";"";"";"";"";"";"EAID_4C0C5DDB_E5BA_42a0_BA5B_65E2D433B16C";"f1220c91-e576-4a25-9cdb-0a2b991ae362";"EAID_79284529_B817_4e3f_BE51_AEAFC60BDE44";"09072026-00:43:48"
"266";"";"";"073e65e1-f56d-4977-b10d-7e691f716d5e";"EAID_FFF5C3F6_C827_46ea_9711_B46836F57745";"specialization-relationship";"generalization";"";"";"";"";"62c91622-cc32-4560-8427-d00101f4847e";"EAID_16FB8171_A9ED_4027_A663_C035509501C8";"cad45b80-14d3-4a0c-a906-0c1614dc9570";"EAID_9DF5AC43_3673_4b9a_BB5E_6DCA7BE28835";"09072026-00:43:48"
"267";"";"";"958c99d6-cab3-4b62-a641-d7277765b156";"EAID_6AC7BD4C_F0F9_47df_A520_808635903CA5";"specialization-relationship";"generalization";"";"";"";"";"ced72a4a-9aa5-485a-8535-206b97fd494f";"EAID_75E93FC5_3EF8_40b6_B170_ED5A2C36B354";"f08625cc-cc49-4664-91fa-823b217d333f";"EAID_91F9D39E_0322_42c6_AE7F_5027B36F3EC3";"09072026-00:43:48"
"268";"";"";"3592c38b-e129-49e4-bd01-4ab37fa0cc2d";"EAID_957F380B_A0BF_4efe_AA4D_88328FB644A3";"specialization-relationship";"generalization";"";"";"";"";"403c547f-8d7e-4235-99d9-d155063c6085";"EAID_31A87864_6CE0_4e93_A493_ECD0FBDD4461";"f08625cc-cc49-4664-91fa-823b217d333f";"EAID_91F9D39E_0322_42c6_AE7F_5027B36F3EC3";"09072026-00:43:48"
"269";"";"";"499e1ccd-1b55-4e83-b198-c7b97457d7cd";"EAID_C6F3271C_0734_4fd2_A249_992B73B21C9D";"specialization-relationship";"generalization";"";"";"";"";"13ad6d22-52ce-4439-9eed-200245c3a498";"EAID_3E9E08B7_574E_43dc_8D93_251BFA8F8D75";"f08625cc-cc49-4664-91fa-823b217d333f";"EAID_91F9D39E_0322_42c6_AE7F_5027B36F3EC3";"09072026-00:43:48"
"270";"";"";"52443ab8-f934-4ee8-b799-7d8e800c32e0";"EAID_FDD68DB0_FB3C_4f40_8EC3_63BF2C631DF1";"specialization-relationship";"generalization";"";"";"";"";"8155eb9b-eb9e-4eec-a850-80c185983a9f";"EAID_9775E778_DBF8_4122_94CE_551466B62F46";"f08625cc-cc49-4664-91fa-823b217d333f";"EAID_91F9D39E_0322_42c6_AE7F_5027B36F3EC3";"09072026-00:43:48"
"271";"";"";"";"EAID_669FD2D2_1C12_4f47_917C_070C4C4C4339";"association-relationship";"association";"";"";"";"";"1b771d9e-6208-4916-86ed-a88a79cac648";"EAID_C1542AC8_2F3C_4e62_ADFA_A9FB3358DAB1";"";"EAID_C97E674B_BCBC_45e8_B60C_1E0C7954D751";"09072026-00:43:48"
"272";"";"";"";"EAID_0DE976AA_E9D2_4bd5_A910_5BBE7600727A";"association-relationship";"association";"";"";"";"";"";"EAID_B8F44180_1F2A_4bbc_8E17_6C472111A92B";"";"EAID_C2D0F78A_D6FC_4330_B78C_4F4B34EE1349";"09072026-00:43:48"
"273";"";"";"";"EAID_ADF9E2D5_8D8B_4d0f_9F53_98C5CAAF2EC9";"association-relationship";"association";"";"";"";"";"8155eb9b-eb9e-4eec-a850-80c185983a9f";"EAID_9775E778_DBF8_4122_94CE_551466B62F46";"";"EAID_B1CB6F3A_A1F5_43f2_B077_02AD7441B1E3";"09072026-00:43:48"
"274";"";"";"";"EAID_D55D0934_867F_4abd_9647_42E25CE2A49D";"association-relationship";"association";"";"";"";"";"8155eb9b-eb9e-4eec-a850-80c185983a9f";"EAID_9775E778_DBF8_4122_94CE_551466B62F46";"";"EAID_1ECAEB3C_EBE2_4afb_8D34_6AFEEFDF3FCA";"09072026-00:43:48"
"275";"";"";"";"EAID_A61F64A4_7D22_406d_96DE_4357C043D2EB";"association-relationship";"association";"";"";"";"";"";"EAID_2EC96974_F21E_4bdb_AF4D_30D7091F5645";"";"EAID_64D33964_B205_4071_9C0F_00E6AFDACC45";"09072026-00:43:48"
"276";"";"";"";"EAID_A5479960_9345_4f27_A2CF_330F4EC1D2FB";"association-relationship";"association";"";"";"";"";"";"EAID_1DA7BC25_CF02_4161_B9A2_DE0BE27C5254";"";"EAID_4CB05400_6AE8_44d9_AA8A_5CA84CFB0B6E";"09072026-00:43:48"
"277";"";"";"";"EAID_CF133D2E_B4B4_4db6_8311_C08E083FF596";"association-relationship";"association";"";"";"";"";"";"EAID_A637379F_6E1D_47aa_AE75_3E22FE0DC814";"";"EAID_E500F84E_81CE_4984_832E_C3B53D14722A";"09072026-00:43:48"
"278";"";"";"";"EAID_2D280C13_8500_442f_AF10_A00A20F088F9";"association-relationship";"association";"";"";"";"";"";"EAID_B0EA89D8_EE32_410b_B683_8CA937E5009D";"";"EAID_2F658B5B_1B89_437e_8EAD_FD544FD62A0A";"09072026-00:43:48"
"279";"";"";"";"EAID_12D8EF33_4A95_476f_9F69_53BC6DB46972";"association-relationship";"association";"";"";"";"";"b403d1ab-a0ee-4ca0-befa-01bbc54bf403";"EAID_B60B8EF9_D1C0_4e36_BF9B_1C16F92518DD";"";"EAID_EAD40DDC_9904_4cde_BE9B_2100268E71B7";"09072026-00:43:48"
"280";"Afgerond met";"Afgerond met";"4b84c6cc-9286-4336-b65d-b228ed977702";"EAID_61E77119_7B76_4855_9CFE_39C02A9AB2E8";"association-relationship";"association";"";"";"";"";"ccce5500-2140-4928-9716-0132a31e9686";"EAID_DCE46ABA_613D_4204_86F4_35F517FF680F";"e1620918-61a7-4cef-b0e2-6b8e206608c8";"EAID_F9B2A863_63C8_4229_906A_D0891BB4F021";"09072026-00:43:48"
"281";"Aflossing is gedaan vanuit Bankrekening";"Aflossing is gedaan vanuit Bankrekening";"";"EAID_40359756_fbbf_4ee1_ac08_405f1cd42474";"aggregation-relationship";"aggregation";"";"";"";"";"";"EAID_196161F4_8372_6334_AF08_263C236F7A38";"";"EAID_03EFE25A_4FE5_1447_088D_262C4A161776";"09072026-00:43:48"
"282";"Aflossingsafspraak betreft Vordering";"Aflossingsafspraak betreft Vordering";"";"EAID_0899EA37_BE4E_4523_61AF_263C258628E7";"aggregation-relationship";"aggregation";"";"";"";"";"";"EAID_0F06241B_EBEF_4053_33E4_263C236F76FC";"";"EAID_14116EEA_C461_0DB2_97AB_263C0A4777FC";"09072026-00:43:48"
"283";"Aflossingsafspraak bevat Aflossing";"Aflossingsafspraak bevat Aflossing";"";"EAID_07ABABBC_951B_E467_C8E1_263C2773145F";"aggregation-relationship";"aggregation";"";"";"";"";"";"EAID_0F06241B_EBEF_4053_33E4_263C236F76FC";"";"EAID_196161F4_8372_6334_AF08_263C236F7A38";"09072026-00:43:48"
"284";"Aflossingsafspraak generaliseert Loonbeslagafspraa";"Aflossingsafspraak generaliseert Loonbeslagafspraa";"";"EAID_35c31cf6_7e38_4b63_9d28_fca9d6a232d1";"specialization-relationship";"generalization";"";"";"";"";"";"EAID_1a6b9a31_c4c7_4b46_92ef_0dd7e31613ed";"";"EAID_0F06241B_EBEF_4053_33E4_263C236F76FC";"09072026-00:43:48"
"285";"Aflossingsplan ondergaat Uitstel aflossing";"Aflossingsplan ondergaat Uitstel aflossing";"";"EAID_08abe303_05b7_4578_8d5a_1c8986892779";"aggregation-relationship";"aggregation";"";"";"";"";"";"EAID_234EB82E_9EC6_5904_2634_263C0A957ADF";"";"EAID_74e47f85_a936_43c0_8ef2_1605bdb5efed";"09072026-00:43:48"
"286";"Beoordeelt door";"Beoordeeld door";"047440e9-3ec3-42c0-883b-2aae7f6fa3de";"EAID_24BF4DCE_5DDC_4c1b_92F0_EFADF4BE03B9";"association-relationship";"association";"";"";"";"";"8c200706-b80b-44f7-9928-bec39e0db21f";"EAID_BBBB63AC_B546_409b_B6D4_53DB561253B7";"2f8612e6-df55-40f2-a8d1-e51b22b5cf9d";"EAID_2A0CC803_9017_4fad_99B5_9347623090F5";"09072026-00:43:48"
"287";"Bestaat uit";"Bestaat uit";"17eb37a8-b6e5-467f-b2c3-5d24a5025042";"EAID_E5612426_29C1_41dc_9289_1E7583EE153E";"association-relationship";"association";"";"";"";"";"e5933d4f-02b6-4851-a31e-8bc5b7cbaab6";"EAID_D857E285_1EA3_4ba3_9614_5FACAC8BA133";"69e60d64-7165-488f-a392-0e75eb4e99fb";"EAID_681DB26F_D779_4796_B467_576E5A25F581";"09072026-00:43:48"
"288";"Betaald werk heeft Dertiende maand - eindejaarsuit";"Betaald werk heeft Dertiende maand - eindejaarsuit";"";"EAID_14718637_3F31_8FA9_DA8F_293A916074F7";"aggregation-relationship";"aggregation";"";"";"";"";"";"EAID_0624AE2E_52A2_7A26_ECA8_293A6E0F09FE";"";"EAID_2771AFDF_11F9_592A_1883_293A9241CBB3";"09072026-00:43:48"
"289";"Betaald werk heeft Heffingskorting";"Betaald werk heeft Heffingskorting";"";"EAID_100B3C47_B6AD_D89D_9179_293A7F28BAE3";"aggregation-relationship";"aggregation";"";"";"";"";"";"EAID_0624AE2E_52A2_7A26_ECA8_293A6E0F09FE";"";"EAID_1075821F_E399_53E2_3994_293A6EAD14DA";"09072026-00:43:48"
