"diagram_guid";"diagram_naam";"beleidsdomein_guid";"beleidsdomein_naam";"taakveld";"aantal_entiteiten"
"EAID_AA6A32A2_564F_4406_8286_D935DB9DD91A";"NIET-NATUURLIJK PERSOON";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"2"
"EAID_5CA29BFA_5CFC_4680_9C7B_3B6E0FEEC213";"NUMMERAANDUIDING";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"9"
"EAID_1818B773_1463_43c7_BACA_FEE391FE27CD";"Normafwijking";"EAPK_1AF36C69_888E_945B_4A20_2632D26A4D4C";"Normafwijking";"6 Sociaal Domein";"5"
"EAID_7DCBF509_0E31_4ff7_B343_65E435AB38B8";"ONBEGROEID TERREINDEEL";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"4"
"EAID_16EB735F_475C_469b_9654_1569A13B8F31";"ONDERSTEUNEND WATERDEEL";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"3"
"EAID_FEE365FC_F7EF_4271_977B_6F9A29FB9474";"ONDERSTEUNEND WEGDEEL";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"4"
"EAID_9B0FEF1A_4146_409e_8B71_B12D4B4AB8A8";"ONDERZOEK";"EAPK_FC04420D_2055_4fcf_A2DB_E4C12E2150F1";"BAG";"99 Kern";"9"
"EAID_974F321A_9A6C_473e_B44D_938E410712CA";"OPENBARE RUIMTE";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"7"
"EAID_FE76A77C_8D9C_4741_948C_B59D7B918FE3";"OVERBRUGGINSDEEL";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"4"
"EAID_DA3F1E20_E23D_448a_9A24_020E52326B3C";"OVERIG BENOEMD TERREIN";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"4"
"EAID_38A8E6E9_1B62_4e6c_9EB6_1B09B369928C";"OVERIG BOUWWERK";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"5"
"EAID_4700DBC7_34E9_4ff1_A6E1_A37CBA99EC28";"OVERIG GEBOUWD OBJECT";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"5"
"EAID_9EAF489C_783B_4315_A602_F477FD7F69DA";"OVERIGE ADRESSEERBAAR OBJECT AANDUIDING";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"4"
"EAID_642784F8_1425_4248_8E6A_BB37498D895C";"OVERIGE SCHEIDING";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"3"
"EAID_C9CE09B7_32EF_40eb_9C82_7FD6EDEA1D9E";"Objecten bij Vergunningaanvraag";"EAPK_0A4C6DE8_608E_4626_A40E_0C432A5B0F9C";"1 Veiligheid en Vergunningen";"1 Veiligheid en Vergunningen";"16"
"EAID_0AC65EDC_5C77_4fd6_8548_98FCF09F72D0";"Omgevingswet Juridische Regels (CIMOW)";"EAPK_65922C38_D066_4e06_8EC6_1AB64A23DFA6";"Omgevingswet";"8 Volkshuisvesting, Leefomgeving en Stedelijke Vernieuwing";"14"
"EAID_BC0AA5E1_51A9_4e23_918C_FFABECCFE304";"Omgevingswet Juridsiche regels en Idealisatie en Thema (CIMOW)";"EAPK_65922C38_D066_4e06_8EC6_1AB64A23DFA6";"Omgevingswet";"8 Volkshuisvesting, Leefomgeving en Stedelijke Vernieuwing";"4"
"EAID_0A914AB1_6EA7_4087_BEB1_DB786FB5D810";"Omgevingswet Omgevingsplan StOP TPOD";"EAPK_65922C38_D066_4e06_8EC6_1AB64A23DFA6";"Omgevingswet";"8 Volkshuisvesting, Leefomgeving en Stedelijke Vernieuwing";"5"
"EAID_B9209AD2_0648_4482_BB24_135F27C2FECC";"Omgevingswet Toepasbare Regels";"EAPK_65922C38_D066_4e06_8EC6_1AB64A23DFA6";"Omgevingswet";"8 Volkshuisvesting, Leefomgeving en Stedelijke Vernieuwing";"9"
"EAID_30B09C29_F649_4248_97FC_35A5F9331BBF";"Omgevingswet Verzoek Activiteit op Locatie";"EAPK_65922C38_D066_4e06_8EC6_1AB64A23DFA6";"Omgevingswet";"8 Volkshuisvesting, Leefomgeving en Stedelijke Vernieuwing";"13"
"EAID_69CF9191_D8DF_4825_8923_8CB0A0194A61";"Omgevingswet Verzoek met Project (IMAM)";"EAPK_65922C38_D066_4e06_8EC6_1AB64A23DFA6";"Omgevingswet";"8 Volkshuisvesting, Leefomgeving en Stedelijke Vernieuwing";"6"
"EAID_0485D200_55DD_437e_B02F_314979270840";"Omgevingswet Verzoeken (IMAM)";"EAPK_65922C38_D066_4e06_8EC6_1AB64A23DFA6";"Omgevingswet";"8 Volkshuisvesting, Leefomgeving en Stedelijke Vernieuwing";"15"
"EAID_33E38059_C973_43ff_97EC_B629923074FF";"Onderwijs: Leerlingen";"EAPK_914BE44C_2654_456f_A20E_C196DCEB20D9";"Onderwijs";"4 Onderwijs";"13"
"EAID_D33047E8_3A39_4171_A7EC_93B137023ED8";"Onderwijs: Relaties met Kern";"EAPK_914BE44C_2654_456f_A20E_C196DCEB20D9";"Onderwijs";"4 Onderwijs";"7"
"EAID_AF86D21D_8F8E_4f0d_A1FA_FE7824E99EAD";"Overige geo objecten met attributen";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"17"
"EAID_66FB74D4_C7D8_40b2_8512_B690FC8B2575";"Overige geo objecten op hoofdlijnen";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"17"
"EAID_1A2D9483_7709_4ea1_8272_225C3B5C36EF";"PAND";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"7"
"EAID_72DE3820_C251_45ac_A1C2_3A133A7791F3";"PERSOON";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"4"
"EAID_8B8444CB_1E64_454b_82F9_48A7C9011CE0";"POC Vastgoed ";"EAPK_64927CCE_C5AB_447e_BB41_C961BE1EA1BD";"Vastgoed";"9 Interne Organisatie";"7"
"EAID_0B6F2088_5BBC_477b_8E5F_3FAB9ACC4399";"Partij";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"2"
"EAID_B2D890F1_6B7C_45df_9A70_8C40CE1B3611";"Prinsenhof Collectie";"EAPK_968E06DC_172D_4e4f_9084_1F7B097620CC";"Musea";"5 Sport, Cultuur en Recreatie";"13"
"EAID_22110445_1906_4602_8004_6BA4D6C063D0";"Prinsenhof Events en Relaties";"EAPK_968E06DC_172D_4e4f_9084_1F7B097620CC";"Musea";"5 Sport, Cultuur en Recreatie";"16"
"EAID_3913ADF8_4B30_48c0_A0AE_59BAAC281EF2";"Prinsenhof Verkoop";"EAPK_968E06DC_172D_4e4f_9084_1F7B097620CC";"Musea";"5 Sport, Cultuur en Recreatie";"10"
"EAID_58363CF8_C242_4dca_8651_1DBB7B5D5BF7";"REISDOCUMENT";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"4"
"EAID_C31886F7_8077_4e36_882C_70D007C8E68B";"RUIMTELIJK PLAN";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"0"
"EAID_FAF0844E_6F79_49f6_995C_177FF02FAF1F";"Reden aanvraag- overzicht";"EAPK_1BEB04DF_888E_945B_4A20_2791BFAE4D4C";"Reden aanvraag";"6 Sociaal Domein";"22"
"EAID_0F80FEE1_6611_472c_A77E_C3EA9A52A4A9";"Reden verkrijging nationaliteit";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"2"
"EAID_38B16DAA_F859_4391_919E_DA51BC19B8D5";"Reden verlies nationaliteit";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"2"
"EAID_806938E3_D65C_4324_8BED_99150ED99294";"Referentielijsten";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"0"
"EAID_8AC9A512_0538_48f7_B25E_5BC65B17A147";"Referentiemodel Gemeentelijke Basisgegevens Zaken in schema";"EAPK_DF1A3AF5_E138_4f54_AAB1_1716247A2F1D";"RGBZPlus";"99 Kern";"15"
"EAID_8FDA2EB0_1359_493c_B72E_751468C6153C";"Reidoscumentsoorten referenties";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"2"
"EAID_0D12DCBF_E6A9_450e_B7F9_2C34E9D2818C";"Relatie BRP en BAG";"EAPK_2EEC0A24_2953_49cb_9CF1_1A19CCE84E97";"99 Kern";"99 Kern";"4"
"EAID_D7287848_8118_4aab_8823_D555A599063C";"Relaties Sociaal Domein tot Kern";"EAPK_4F047F89_F482_48c9_810A_EC0B55B40AEE";"Sociaal Domein Generiek";"6 Sociaal Domein";"15"
"EAID_6409BBCD_026C_40ea_BC54_EE3B816D8CAB";"Relaties met Kern";"EAPK_1825F01E_BA3C_4e53_B3B3_BD1E69F94A10";"HR";"9 Interne Organisatie";"7"
"EAID_9935A4BE_19B5_4fb3_8A0B_49800F527804";"Relaties tot kern details";"EAPK_4F047F89_F482_48c9_810A_EC0B55B40AEE";"Sociaal Domein Generiek";"6 Sociaal Domein";"4"
"EAID_7561B00D_273B_425a_B2FE_1C3AE499ED2E";"Ruimte Adressen, gebouwen en terreinen";"EAPK_C3BA35EC_ABFA_4a7d_BEE9_07FF7563442D";"Beheer Openbare Ruimte";"8 Volkshuisvesting, Leefomgeving en Stedelijke Vernieuwing";"9"
"EAID_F9683FD0_4AA1_40c0_A132_4EA8F639B371";"Ruimte WOZ en Benoemd Object";"EAPK_C3BA35EC_ABFA_4a7d_BEE9_07FF7563442D";"Beheer Openbare Ruimte";"8 Volkshuisvesting, Leefomgeving en Stedelijke Vernieuwing";"9"
"EAID_49F599DD_0B8B_466c_BCCE_AD7EFBA26037";"SCHEIDING";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"4"
"EAID_F09830F5_0257_4381_A3F8_A10545BE42AC";"SPOOR";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"4"
"EAID_1E00D6DC_46D2_4019_A5BF_50E3CAC22EF5";"STANDPLAATS";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"5"
"EAID_FAA8B1DB_4AFE_4db0_8D32_1322C62344E8";"SUBJECT";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"7"
"EAID_F9907E9B_BD04_439e_A0A9_C6E7BA7F6623";"Schouwrondes Beheersobjecten";"EAPK_C3BA35EC_ABFA_4a7d_BEE9_07FF7563442D";"Beheer Openbare Ruimte";"8 Volkshuisvesting, Leefomgeving en Stedelijke Vernieuwing";"14"
"EAID_8BE01DD9_B915_4291_B190_AB69D0252391";"Schouwrondes en Arealen";"EAPK_C3BA35EC_ABFA_4a7d_BEE9_07FF7563442D";"Beheer Openbare Ruimte";"8 Volkshuisvesting, Leefomgeving en Stedelijke Vernieuwing";"4"
"EAID_60622F3B_724C_487b_B974_EAFC4A8DD0BE";"Schuldhulp Client";"EAPK_B9861718_A0E9_4f16_B9CE_F1A09D0AD642";"Schuldhulpverlening";"6 Sociaal Domein";"15"
