"diagram_guid";"diagram_naam";"beleidsdomein_guid";"beleidsdomein_naam";"taakveld";"aantal_entiteiten"
"EAID_1870EA6A_B28E_464d_BF23_0BAC5C950999";"(Zaak)objecten";"EAPK_DF1A3AF5_E138_4f54_AAB1_1716247A2F1D";"RGBZPlus";"99 Kern";"4"
"EAID_79A12E83_7204_4e76_9EFF_DE43AB9C5CF5";"AANDUIDING ADRES OBJECT";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"3"
"EAID_5AEC36BA_4A41_469d_948F_1F161CE8C49B";"AANDUIDING LIGGING OBJECT";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"2"
"EAID_FF57C1EA_0D27_4c30_A22A_F558746A1B42";"AANDUIDING LOCATIE OVERIG GEBOUWD OBJECT";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"2"
"EAID_EB829228_B970_4bc9_A9B4_5E88B9EF07D3";"ADRESSEERBAAR OBJECT AANDUIDING";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"9"
"EAID_04F5FDCC_2C4B_41a8_B5B9_D0048B089B33";"ANDER BUITENLANDS NIET-NATUURLIJK PERSOON";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"0"
"EAID_0C767444_9817_4d3b_90CB_92D82729A6F9";"APPARTEMENTRECHTSPLITSING";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"5"
"EAID_AD6E225D_4EB7_4f41_8417_20125A0714D0";"ARK codes kadastrale gemeenten referenties";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"1"
"EAID_196C3C10_4FCF_4342_B4EC_B5524AAA26F8";"Aanduiding verblijfsrecht";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"2"
"EAID_5F3782EB_C416_461c_A9FA_40991A7F0165";"AanvraagOfMelding";"EAPK_189DA897_DDC8_4956_B8E3_5E04D3E1AEA3";"Generiek Jeugd en Wmo";"6 Sociaal Domein";"5"
"EAID_156D28EA_3C4E_4849_B6FA_2BCE262950C0";"Aard aantekeningen";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"1"
"EAID_211D2BB4_1BE7_4d67_91E2_436C5781FB66";"Aard zakelijke rechten referenties";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"2"
"EAID_390A4F53_19BA_4f3b_A75C_9C1CD1A8A818";"Abstracte en concrete objecttypen";"EAPK_DF1A3AF5_E138_4f54_AAB1_1716247A2F1D";"RGBZPlus";"99 Kern";"0"
"EAID_CD2EAE6D_E85B_455e_A39A_1983BC33B772";"Abstracte en concrete objecttypen";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"0"
"EAID_1279615F_663B_4c7f_BDF3_CD1DA37A87BC";"Adresseerbare Objecten";"EAPK_C3BA35EC_ABFA_4a7d_BEE9_07FF7563442D";"Beheer Openbare Ruimte";"8 Volkshuisvesting, Leefomgeving en Stedelijke Vernieuwing";"3"
"EAID_282A4979_0BBC_4448_B71C_0CE64829083B";"Afspraken en Klantcontacten";"EAPK_5CA50A0D_7FDC_40ea_B3F3_F85E008D3549";"10 Dienstverlening";"10 Dienstverlening";"10"
"EAID_8D468696_4B9D_40b4_92F0_3BED39502098";"Archief Aanvragen";"EAPK_10EED4F6_744C_40c0_8B37_EFFC7E5EEC21";"Archief";"5 Sport, Cultuur en Recreatie";"3"
"EAID_59241C4B_FD65_484b_88E5_83189334A510";"Archief Model";"EAPK_10EED4F6_744C_40c0_8B37_EFFC7E5EEC21";"Archief";"5 Sport, Cultuur en Recreatie";"9"
"EAID_691E6481_68AC_4754_88F0_60D2877D1549";"Archief Model Indeling";"EAPK_10EED4F6_744C_40c0_8B37_EFFC7E5EEC21";"Archief";"5 Sport, Cultuur en Recreatie";"9"
"EAID_EF872947_BE6B_4af5_8221_2A6AA2A0D4B7";"Archief Relaties met Kern";"EAPK_10EED4F6_744C_40c0_8B37_EFFC7E5EEC21";"Archief";"5 Sport, Cultuur en Recreatie";"8"
"EAID_53E16E43_EDF1_4b47_B0DD_C77D8FEFCCA3";"BAG";"EAPK_FC04420D_2055_4fcf_A2DB_E4C12E2150F1";"BAG";"99 Kern";"25"
"EAID_1947D48F_6D4E_4943_B313_091CF7B56117";"BEGROEID TERREINDEEL";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"4"
"EAID_515E0990_C193_43cb_8EAF_907796BD3B1F";"BENOEMD OBJECT";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"5"
"EAID_DF9CEAAD_E574_40b3_970B_DC558AB579D0";"BRK";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"8"
"EAID_EA402BCD_1511_48d1_88B4_E6444A0C945A";"BUURT";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"4"
"EAID_4F14E8D8_5502_4880_9E83_D912BE451EB1";"Basismodel CMDB-Items";"EAPK_A2C234C7_A5F7_4e4a_9EE3_8C37A4469F01";"ICT";"9 Interne Organisatie";"18"
"EAID_A255BB0C_A1DB_43a5_88B1_C638F6E64B0B";"Basismodel CMDB-Items Diversen";"EAPK_A2C234C7_A5F7_4e4a_9EE3_8C37A4469F01";"ICT";"9 Interne Organisatie";"8"
"EAID_A2831A97_91F6_4ed0_896E_3531219E69F0";"Basismodel ICT Applicatie en Gegevens";"EAPK_A2C234C7_A5F7_4e4a_9EE3_8C37A4469F01";"ICT";"9 Interne Organisatie";"10"
"EAID_63323A39_82A4_4607_8A45_E4CBD1D800B0";"Bedrijfsprocessen";"EAPK_DF1A3AF5_E138_4f54_AAB1_1716247A2F1D";"RGBZPlus";"99 Kern";"8"
"EAID_9B278A50_862A_4085_B362_C41392101916";"Beperkingen";"EAPK_189DA897_DDC8_4956_B8E3_5E04D3E1AEA3";"Generiek Jeugd en Wmo";"6 Sociaal Domein";"5"
"EAID_0D82C835_277F_4149_A937_589ED319F370";"Beschrijving IMBOR";"EAPK_C3BA35EC_ABFA_4a7d_BEE9_07FF7563442D";"Beheer Openbare Ruimte";"8 Volkshuisvesting, Leefomgeving en Stedelijke Vernieuwing";"0"
"EAID_0516C81B_D5F6_4b7a_AD98_82FD3B218A6B";"Betrokkene";"EAPK_DF1A3AF5_E138_4f54_AAB1_1716247A2F1D";"RGBZPlus";"99 Kern";"6"
"EAID_0B1C1CCE_E0D1_413d_A38B_7A9B03A21610";"Bezetting en Formatie";"EAPK_1825F01E_BA3C_4e53_B3B3_BD1E69F94A10";"HR";"9 Interne Organisatie";"10"
"EAID_EC84A03C_FC04_401a_8263_7809B74179F8";"Brede Handhaving";"EAPK_0A4C6DE8_608E_4626_A40E_0C432A5B0F9C";"1 Veiligheid en Vergunningen";"1 Veiligheid en Vergunningen";"9"
"EAID_D9511F60_3CA7_43bd_B6C8_F66447D66DBA";"Burgerzaken";"EAPK_C84D590F_615F_4671_B4C2_7610C80F33F4";"Burgerzaken";"0 Bestuur, Politiek en Ondersteuning";"3"
"EAID_5D49277A_03E6_4e94_A3EE_79627327FA9E";"Buurten en Wijken";"EAPK_2EEC0A24_2953_49cb_9CF1_1A19CCE84E97";"99 Kern";"99 Kern";"4"
"EAID_A7DD83EA_D15D_46a9_9F35_4005FE06648A";"Catalogus RGBZ";"EAPK_DF1A3AF5_E138_4f54_AAB1_1716247A2F1D";"RGBZPlus";"99 Kern";"0"
"EAID_22165FA0_AC93_4d39_8BD4_83F5C1B10222";"Catalogus RSGB";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"0"
"EAID_65ED4246_5F82_4f1f_B752_18EDE5D7053C";"Codes cultuur onbebouwd referenties";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"2"
"EAID_0981C2ED_9E04_4004_98C8_C9622FDF3638";"Cultuur codes bebouwd referenties";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"2"
"EAID_4FC75976_F979_4935_9EEB_9910EE83A246";"Deelobjectcodereferenties";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"2"
"EAID_F93A23D7_BF68_46e0_A6D4_96508ACED81E";"Detaildiagram Werk";"EAPK_0CC177F3_B29B_4247_B010_1423D1561952";"Werk";"6 Sociaal Domein";"55"
"EAID_FF8B8883_467A_422e_A894_C513307057AF";"Detaillering Kadastrale Onroerende Zaken en Rechten met attributen";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"12"
"EAID_0A286E07_9DEF_46a8_AC66_469F5A70564E";"Detaillering Kadastrale Onroerende Zaken en Rechten op hoofdlijnen";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"12"
"EAID_71A3B7DD_0097_4a32_8E4B_09735D7404E8";"Detaillering Subjecten ";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"5"
"EAID_5E76FEEA_58F8_41fd_9FF1_B44274C80FA5";"Detaillering WOZ-objecttypen met attributen";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"22"
"EAID_3F813481_9A40_4b1b_9B24_1FD069230A45";"Detaillering WOZ-objecttypen op hoofdlijnen";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"22"
"EAID_8E884846_1CE8_4648_BC84_91BDF6E8F805";"Detaillering abstracte en concrete adres & gebouw objecttypen";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"8"
"EAID_6D183015_C579_4337_9B8A_E937C52A10B3";"Detaillering adressen, gebouwen en terreinen met attributen";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"14"
"EAID_00CCCF33_A542_47e6_AFA6_2F9F4E2670D8";"Detaillering adressen, gebouwen en terreinen op hoofdlijnen";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"15"
"EAID_2BA6CA76_17FC_4afc_82AD_9DF0DC891587";"Detaillering concreten en abstracte  Kadastrale Onroerende Zaken objecttypen";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"3"
"EAID_EB4053EE_18A5_4578_8973_7FD5967CDFC8";"Detaillering subjecten met attributen";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"16"
"EAID_BE50EA2F_917E_434f_91ED_0EB06CCBEFB6";"Detaillering subjecten op hoofdlijnen";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"17"
"EAID_A2BA1F0D_8428_42fc_80D6_7184F243D268";"Diagram Aanvragen, Zaken en Besluiten";"EAPK_0A4C6DE8_608E_4626_A40E_0C432A5B0F9C";"1 Veiligheid en Vergunningen";"1 Veiligheid en Vergunningen";"5"
"EAID_92909E43_46E7_43d1_B7B5_296AFC35D178";"Diagram Adresaanduiding en BAG";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"2"
"EAID_157F610A_619E_4d1a_BB45_5C1F55178944";"Diagram Afval Meldingen";"EAPK_639DFBCF_D24B_4b32_A2A4_D6386E0EF744";"Afval";"7 Volksgezondheid en Milieu";"6"
"EAID_A00B8121_71AC_466f_B391_E16881240477";"Diagram Afval Milieustraat";"EAPK_639DFBCF_D24B_4b32_A2A4_D6386E0EF744";"Afval";"7 Volksgezondheid en Milieu";"5"
"EAID_D98AA96C_2EB0_4b46_9E9C_09D55E02FE38";"Diagram Afval Ophalen";"EAPK_639DFBCF_D24B_4b32_A2A4_D6386E0EF744";"Afval";"7 Volksgezondheid en Milieu";"12"
"EAID_9CEE3C86_9B9F_472f_A104_61FFC01DAC5A";"Diagram Basismodel Inkomen";"EAPK_7A13550B_AC75_4783_BD16_A9ED6E86172A";"Model Inkomen";"6 Sociaal Domein";"8"
"EAID_26A453D9_47AF_487e_854B_3B4BC6D6A308";"Diagram Beslissingen Leerplicht";"EAPK_F717C1C4_7FF4_4024_BDFE_7F424C8EC0E9";"Leerplicht en Leerlingenvervoer";"4 Onderwijs";"21"
"EAID_793F0822_F942_4948_A3EA_24C60FCAB576";"Diagram Client en Werkzoekende";"EAPK_0CC177F3_B29B_4247_B010_1423D1561952";"Werk";"6 Sociaal Domein";"4"
"EAID_7699CCFC_3358_48d0_A60C_F5D044D58F87";"Diagram Dakloosheid";"EAPK_7EBCDBB1_6E9C_4f09_AE96_71822F2CC050";"Dak- en thuislozen";"6 Sociaal Domein";"2"
"EAID_49670B34_2BC4_4972_BC7C_3F5793B27A73";"Diagram Diensten";"EAPK_21489181_D319_96D3_FC70_281C3303E934";"Diensten";"6 Sociaal Domein";"22"
"EAID_CC3C7277_FF05_4ff4_B0D2_68545E6D5A1D";"Diagram Domeinen, PDC en zaken";"EAPK_A2C234C7_A5F7_4e4a_9EE3_8C37A4469F01";"ICT";"9 Interne Organisatie";"6"
"EAID_21D78104_E6EA_4d5c_9DBE_AB71F7DC99E7";"Diagram Economie";"EAPK_97C39FF1_DCAE_4b67_9249_015E2D795AE8";"3 Economie";"3 Economie";"11"
"EAID_FD4BAB10_5D3E_4d14_8949_24CA09AC42A7";"Diagram GGM en Inkomen";"EAPK_7A13550B_AC75_4783_BD16_A9ED6E86172A";"Model Inkomen";"6 Sociaal Domein";"12"
"EAID_50085E67_46AC_4f54_B204_436786266EE2";"Diagram Gebied Vestiging en Adres";"EAPK_97C39FF1_DCAE_4b67_9249_015E2D795AE8";"3 Economie";"3 Economie";"9"
"EAID_19D888BE_5EC7_4590_BE67_8F66D91245F1";"Diagram Gebied Vestiging en Adres";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"9"
"EAID_A9F0B77B_05F3_4c36_96A0_8841BBAE47E0";"Diagram Griffie";"EAPK_462ADAB3_19AB_405b_9BB5_0951DA70BFA0";"Griffie";"0 Bestuur, Politiek en Ondersteuning";"17"
"EAID_B832F543_BBE3_421e_B76D_561E53237684";"Diagram IMBOR vs IMGeo";"EAPK_C3BA35EC_ABFA_4a7d_BEE9_07FF7563442D";"Beheer Openbare Ruimte";"8 Volkshuisvesting, Leefomgeving en Stedelijke Vernieuwing";"2"
"EAID_7683FAC9_3F9C_4e21_8D02_5B9FDEBC7D1F";"Diagram Inkomsten";"EAPK_4F047F89_F482_48c9_810A_EC0B55B40AEE";"Sociaal Domein Generiek";"6 Sociaal Domein";"35"
"EAID_6683520C_EE21_4038_A418_D4C957172DF2";"Diagram Inkoop Geen Inhuur";"EAPK_E593FB18_D458_4462_B5F2_0B37FA3AA722";"Inkoop";"9 Interne Organisatie";"23"
"EAID_1172FBF0_04B4_46c7_9FB5_F34730E060FB";"Diagram Inkoop Inhuur";"EAPK_E593FB18_D458_4462_B5F2_0B37FA3AA722";"Inkoop";"9 Interne Organisatie";"14"
"EAID_7429E175_1CBE_4336_BF92_6C5029395E69";"Diagram Monumenten";"EAPK_45B88627_6F44_4b6d_BE77_3EC51BBE679E";"Monumenten";"5 Sport, Cultuur en Recreatie";"5"
"EAID_58EA4966_DBC2_4359_94C4_ABC774DBE5E2";"Diagram Monumenten Detail";"EAPK_45B88627_6F44_4b6d_BE77_3EC51BBE679E";"Monumenten";"5 Sport, Cultuur en Recreatie";"9"
"EAID_60B49988_60E9_4fa6_A70B_990FA6C64BC2";"Diagram Profiel";"EAPK_4F047F89_F482_48c9_810A_EC0B55B40AEE";"Sociaal Domein Generiek";"6 Sociaal Domein";"6"
"EAID_108224FC_E160_417a_AFC5_68A484B3B8AE";"Diagram Raadsstukken";"EAPK_462ADAB3_19AB_405b_9BB5_0951DA70BFA0";"Griffie";"0 Bestuur, Politiek en Ondersteuning";"5"
"EAID_25BCAA7D_6255_4f3a_8408_DF91881FE29F";"Diagram Sportbeleid";"EAPK_02364A0F_CCFA_46ba_BB30_BFCAB446F602";"Sport";"5 Sport, Cultuur en Recreatie";"13"
"EAID_BA23F316_FE48_49a8_A26D_9B1D14713F76";"Diagram Sportbeleid Locaties";"EAPK_02364A0F_CCFA_46ba_BB30_BFCAB446F602";"Sport";"5 Sport, Cultuur en Recreatie";"8"
"EAID_CE436DEE_AB15_4f23_B191_FA8A63FB488D";"Diagram Terug- en invordering";"EAPK_1AF9ED18_888E_945B_4A20_263C09D54D4C";"Terug- en invordering";"6 Sociaal Domein";"29"
"EAID_BB52C835_0B2D_4164_AC9D_9D6EDBD7E267";"Diagram Vergunningen en Meldingen";"EAPK_0A4C6DE8_608E_4626_A40E_0C432A5B0F9C";"1 Veiligheid en Vergunningen";"1 Veiligheid en Vergunningen";"23"
"EAID_49A15BF5_AB98_4ab9_AE01_D5636641F455";"Diagram Verkeer en Vervoer";"EAPK_02FD7722_6B39_4e67_A30D_D501E2716B6F";"Mobiliteit";"2 Verkeer, Vervoer en Waterstaat";"5"
"EAID_21AD192F_EEF1_493b_9BFD_D37EF6C93236";"Diagram Verlengen Inhuur";"EAPK_E593FB18_D458_4462_B5F2_0B37FA3AA722";"Inkoop";"9 Interne Organisatie";"8"
"EAID_8B78D87D_33A0_48bc_B883_C6C956FB5C6D";"Diagram Vermogen";"EAPK_4F047F89_F482_48c9_810A_EC0B55B40AEE";"Sociaal Domein Generiek";"6 Sociaal Domein";"6"
"EAID_1D7802F4_3458_4bb4_8431_16C7F85473FC";"Dienstverlening en Klanten";"EAPK_5CA50A0D_7FDC_40ea_B3F3_F85E008D3549";"10 Dienstverlening";"10 Dienstverlening";"6"
"EAID_69D1CA4F_84C6_4bee_B0ED_0832701881DA";"Dimensies Diagram";"EAPK_2EEC0A24_2953_49cb_9CF1_1A19CCE84E97";"99 Kern";"99 Kern";"1"
"EAID_E8C1CCDA_FF3C_498a_8FC9_FD6E461092FA";"Documenten";"EAPK_1825F01E_BA3C_4e53_B3B3_BD1E69F94A10";"HR";"9 Interne Organisatie";"4"
"EAID_CB741CAB_CDF8_4400_A9A5_F64315AC812A";"Documenten";"EAPK_DF1A3AF5_E138_4f54_AAB1_1716247A2F1D";"RGBZPlus";"99 Kern";"3"
"EAID_891372E6_27FB_442d_9CC4_08C2659E8C53";"Domain Objects";"EAPK_1825F01E_BA3C_4e53_B3B3_BD1E69F94A10";"HR";"9 Interne Organisatie";"28"
"EAID_48B6C3F9_CCF1_4794_8252_FC6543409B78";"Entiteiten Dienstverlening";"EAPK_5CA50A0D_7FDC_40ea_B3F3_F85E008D3549";"10 Dienstverlening";"10 Dienstverlening";"14"
"EAID_5901286A_E9EF_4360_9CE6_32B6FDE1C970";"Entiteiten Klantcontact";"EAPK_5CA50A0D_7FDC_40ea_B3F3_F85E008D3549";"10 Dienstverlening";"10 Dienstverlening";"12"
"EAID_C91D2D84_69FA_4320_BFE0_F10EFEB8F49B";"Erfgoed: Archeologie Domeinmodel";"EAPK_CDBD96D1_44EA_401b_A0EF_9D235D437D17";"Archeologie";"5 Sport, Cultuur en Recreatie";"18"
"EAID_A120401E_3065_4b7e_9D73_A47BDB9CCD18";"FUNCTIONEEL GEBIED";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"4"
"EAID_42C2960F_FED7_467e_AAB1_5195BED59A39";"Financien Begroting en Budgetverantwoordelijkheid";"EAPK_4F010A09_D9D0_4bcf_A233_8430F8EFE54A";"Financien";"9 Interne Organisatie";"11"
"EAID_CB1E27F6_9539_4037_8A93_07CC937D5D2E";"Financien Personen";"EAPK_4F010A09_D9D0_4bcf_A233_8430F8EFE54A";"Financien";"9 Interne Organisatie";"3"
"EAID_0723EB5C_4A2C_44d4_B15B_37AC71B5D711";"Financien Verplichtingen en Facturen";"EAPK_4F010A09_D9D0_4bcf_A233_8430F8EFE54A";"Financien";"9 Interne Organisatie";"9"
"EAID_B758018F_CB22_420e_B4E4_E17EB5F71EDA";"Financien Verwerken Mutaties";"EAPK_4F010A09_D9D0_4bcf_A233_8430F8EFE54A";"Financien";"9 Interne Organisatie";"15"
"EAID_D406DCDE_C353_4bbd_B410_5928B46BA50E";"GEBOUWINSTALLATIE";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"3"
"EAID_EF30497F_DFF1_4375_8AC5_F9B35DC45E19";"GEMEENTE";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"3"
"EAID_949AE9E2_95EB_4063_B7C5_E81971D410B3";"Gemeente Begrafenissen";"EAPK_69713AD3_FECC_4964_8F11_79C8755F710E";"Gemeentebegrafenissen";"6 Sociaal Domein";"4"
"EAID_8DBF3226_FD39_4d9b_8101_633FF36CA47E";"Generieke Locatie";"EAPK_2EEC0A24_2953_49cb_9CF1_1A19CCE84E97";"99 Kern";"99 Kern";"7"
"EAID_B7192738_00E7_4b65_902A_B8292E79261B";"Generieke entiteiten Erfgoed";"EAPK_4D0C0DDA_ACE2_4e71_8915_2295B450CE2A";"Generieke Entiteiten Erfgoed";"5 Sport, Cultuur en Recreatie";"9"
"EAID_227EBDFE_6FD0_4a47_85A4_FAC4AEFE003E";"Gezag";"EAPK_4F047F89_F482_48c9_810A_EC0B55B40AEE";"Sociaal Domein Generiek";"6 Sociaal Domein";"5"
"EAID_E5BA04D7_A221_4f36_97AB_6E2D7A11C5BB";"Gladheid";"EAPK_02FD7722_6B39_4e67_A30D_D501E2716B6F";"Mobiliteit";"2 Verkeer, Vervoer en Waterstaat";"3"
"EAID_0A70FE73_68AD_4eea_AE2D_753982674647";"HUWELIJK/GEREGISTREERD PARTNERSCHAP";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"5"
"EAID_E3EBD7A0_35C4_4bf4_BD01_6D97AD0B8BF3";"Hoofdobjecten IMBOR en Geo-object";"EAPK_C3BA35EC_ABFA_4a7d_BEE9_07FF7563442D";"Beheer Openbare Ruimte";"8 Volkshuisvesting, Leefomgeving en Stedelijke Vernieuwing";"26"
"EAID_4896574A_C4DD_4b27_A3B9_4481F4B29CCB";"Hoofdobjecten IMGeo en Beheerobjecten ";"EAPK_C3BA35EC_ABFA_4a7d_BEE9_07FF7563442D";"Beheer Openbare Ruimte";"8 Volkshuisvesting, Leefomgeving en Stedelijke Vernieuwing";"21"
"EAID_CABB9F3F_A6ED_479a_A175_6F61BE2BE8F8";"Huishouden en Huwelijk";"EAPK_4F047F89_F482_48c9_810A_EC0B55B40AEE";"Sociaal Domein Generiek";"6 Sociaal Domein";"8"
"EAID_D6979B1E_19B7_405d_A366_0F319815E0A0";"INGESCHREVEN NATUURLIJK  PERSOON";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"21"
"EAID_72DC2D83_7872_4a76_B42B_160CE6DFED16";"INGESCHREVEN NIET-NATUURLIJK PERSOON";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"4"
"EAID_6947C2ED_7AB4_4d8f_9754_608629FC35E9";"INRICHTINGSELEMENT";"EAPK_58A5214F_E56C_4707_BE2D_AB36DD6976A3";"RSGBPlus";"99 Kern";"4"
